Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
c2c2c4,"0,0,0",ppl,0.39785194397,31,19
c2c2c4,"1,1,3",ppl,0.717512130737,53,126
c2c2c4,"0,1,0",ppl,0.682097911835,57,136
c2c2c4,"1,0,1",ppl,0.677992105484,53,126
c2c2c4,"1,0,2",ppl,0.693863868713,57,136
c2c2c4,"0,0,3",ppl,0.775388002396,53,126
c2c2c4,"1,1,2",ppl,0.681391954422,57,136
c2c2c2c2,"1,0,1,1",ppl,0.669595003128,31,92
c2c2c2c2,"1,1,0,1",ppl,0.46099281311,31,92
c2c2c2c2,"1,0,0,0",ppl,0.444085836411,31,92
c2c2c2c2,"0,1,1,0",ppl,0.40354514122,31,92
c2c2c2c2,"1,0,1,0",ppl,0.718322992325,31,92
c2c2c2c2,"0,0,0,1",ppl,0.638720035553,31,92
c2c2c2c2,"0,0,1,1",ppl,0.660130977631,31,92
c2c2c2c2,"1,0,0,1",ppl,0.463465213776,31,92
c2c2c2c2,"0,1,0,0",ppl,0.48514509201,31,92
c2c2c2c2,"1,1,1,1",ppl,0.65599489212,31,92
c2c2c2c2,"0,0,0,0",ppl,0.473940134048,16,15
c2c2c2c2,"0,0,1,0",ppl,0.65584897995,31,92
c2c2c2c2,"0,1,0,1",ppl,0.435142040253,31,92
c2c2c2c2,"1,1,1,0",ppl,0.717657804489,31,92
c2c2c2c2,"0,1,1,1",ppl,0.449790000916,31,92
c2c2c2c2,"1,1,0,0",ppl,0.64972782135,31,92
c17,15,ppl,2.47406888008,267,128
c17,0,ppl,9.86591386795,496,328
c17,1,ppl,1.76715278625,267,128
c17,2,ppl,1.82900810242,267,128
c17,8,ppl,2.64018297195,267,128
c17,3,ppl,2.02988600731,267,128
c17,9,ppl,2.6934671402,267,128
c17,4,ppl,2.37953901291,267,128
c17,10,ppl,2.28595089912,267,128
c17,5,ppl,3.08285498619,267,128
c17,16,ppl,2.46983408928,267,128
c17,11,ppl,3.60566115379,267,128
c17,6,ppl,2.07221913338,267,128
c17,12,ppl,2.50515389442,267,128
c17,7,ppl,2.87674999237,267,128
c17,13,ppl,2.26107406616,267,128
c17,14,ppl,2.48623991013,267,128
c9c2,"0,1",ppl,18.7808470726,591,205
c9c2,"0,0",ppl,256.289132118,597,225
c9c2,"7,0",ppl,1.73853588104,171,118
c9c2,"8,1",ppl,31.9339389801,386,232
c9c2,"7,1",ppl,30.422522068,386,232
c9c2,"3,0",ppl,2.29236102104,225,83
c9c2,"6,1",ppl,29.1881711483,583,196
c9c2,"3,1",ppl,28.8007330894,583,196
c9c2,"6,0",ppl,2.31677007675,225,83
c9c2,"2,1",ppl,31.6786949635,386,232
c9c2,"2,0",ppl,1.62106609344,171,118
c9c2,"5,0",ppl,1.43790793419,171,118
c9c2,"8,0",ppl,1.19494104385,171,118
c9c2,"5,1",ppl,31.5439949036,386,232
c9c2,"1,0",ppl,1.39561200142,171,118
c9c2,"4,1",ppl,33.026070118,386,232
c9c2,"1,1",ppl,33.3383448124,386,232
c9c2,"4,0",ppl,1.38328814507,171,118
c3c3c2,"0,1,1",ppl,7.31959009171,283,208
c3c3c2,"2,1,1",ppl,8.4617421627,283,208
c3c3c2,"2,1,0",ppl,1.50741195679,156,107
c3c3c2,"2,0,0",ppl,1.10516381264,156,107
c3c3c2,"0,2,0",ppl,1.41780090332,156,107
c3c3c2,"1,0,0",ppl,1.25778603554,156,107
c3c3c2,"1,1,0",ppl,1.2384390831,156,107
c3c3c2,"0,0,1",ppl,2.25128507614,447,121
c3c3c2,"1,2,1",ppl,6.65832304955,283,208
c3c3c2,"1,0,1",ppl,7.53474020958,283,208
c3c3c2,"1,1,1",ppl,5.9769308567,283,208
c3c3c2,"2,2,1",ppl,6.74292492867,283,208
c3c3c2,"1,2,0",ppl,0.961091995239,156,107
c3c3c2,"0,0,0",ppl,85.0365180969,897,81
c3c3c2,"2,0,1",ppl,7.50458908081,283,208
c3c3c2,"0,1,0",ppl,1.11772298813,156,107
c3c3c2,"2,2,0",ppl,1.06267881393,156,107
c3c3c2,"0,2,1",ppl,7.68892216682,283,208
c19,15,ppl,173.803178072,744,191
c19,0,ppl,129.897773981,1586,501
c19,1,ppl,54.8737418652,744,191
c19,2,ppl,57.7364399433,744,191
c19,8,ppl,136.59698391,744,191
c19,3,ppl,94.2998220921,744,191
c19,9,ppl,146.134026051,744,191
c19,4,ppl,139.84347415,744,191
c19,10,ppl,170.963221073,744,191
c19,5,ppl,143.953638077,744,191
c19,16,ppl,93.8202528954,744,191
c19,11,ppl,165.642287016,744,191
c19,6,ppl,148.806064129,744,191
c19,17,ppl,172.617259979,744,191
c19,12,ppl,179.723570824,744,191
c19,7,ppl,125.513155937,744,191
c19,18,ppl,131.912621021,744,191
c19,13,ppl,155.40961504,744,191
c19,14,ppl,142.520274162,744,191
c5c4,"1,2",ppl,89.2121150494,396,191
c5c4,"3,2",ppl,89.4823851585,396,191
