Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
c3c4,"1,2",normaliz,0.0496771335602,20,32
c3c4,"0,0",normaliz,0.0765149593353,57,52
c3c4,"2,1",normaliz,0.0621571540833,33,55
c3c4,"0,2",normaliz,0.061919927597,26,25
c3c4,"2,0",normaliz,0.0574448108673,26,28
c3c4,"1,3",normaliz,0.0695440769196,33,55
c3c4,"2,3",normaliz,0.0607359409332,33,55
c3c4,"2,2",normaliz,0.0501961708069,20,32
c3c4,"1,0",normaliz,0.0556020736694,26,28
c3c4,"0,3",normaliz,0.0654060840607,41,44
c3c4,"1,1",normaliz,0.0654921531677,33,55
c3c2c2,"0,1,1",normaliz,0.0622868537903,31,46
c3c2c2,"2,1,0",normaliz,0.0630390644073,26,47
c3c2c2,"2,0,0",normaliz,0.0433900356293,16,14
c3c2c2,"1,1,0",normaliz,0.0684051513672,26,47
c3c2c2,"1,0,0",normaliz,0.0429389476776,16,14
c3c2c2,"2,1,1",normaliz,0.0602149963379,26,47
c3c2c2,"0,0,1",normaliz,0.0635669231415,31,46
c3c2c2,"1,0,1",normaliz,0.0619351863861,26,47
c3c2c2,"0,0,0",normaliz,0.0464811325073,25,29
c3c2c2,"2,0,1",normaliz,0.0586569309235,26,47
c3c2c2,"0,1,0",normaliz,0.0728788375854,31,46
c3c2c2,"1,1,1",normaliz,0.058413028717,26,47
c13,0,normaliz,0.105625867844,84,130
c13,1,normaliz,0.0788371562958,52,53
c13,2,normaliz,0.0807960033417,52,53
c13,8,normaliz,0.0821781158447,52,53
c13,3,normaliz,0.085813999176,52,53
c13,9,normaliz,0.0764310359955,52,53
c13,4,normaliz,0.0793471336365,52,53
c13,10,normaliz,0.0730028152466,52,53
c13,5,normaliz,0.0796611309052,52,53
c13,11,normaliz,0.0818808078766,52,53
c13,6,normaliz,0.0748298168182,52,53
c13,12,normaliz,0.0766820907593,52,53
c13,7,normaliz,0.0841948986053,52,53
c7c2,"0,1",normaliz,0.144914150238,81,93
c7c2,"0,0",normaliz,0.11442899704,63,111
c7c2,"3,0",normaliz,0.09193110466,44,45
c7c2,"6,1",normaliz,0.135495901108,78,89
c7c2,"3,1",normaliz,0.140067815781,78,89
c7c2,"6,0",normaliz,0.0964360237122,44,45
c7c2,"2,1",normaliz,0.144912958145,78,89
c7c2,"2,0",normaliz,0.0961499214172,44,45
c7c2,"5,0",normaliz,0.102210998535,44,45
c7c2,"5,1",normaliz,0.138948917389,78,89
c7c2,"1,0",normaliz,0.0937449932098,44,45
c7c2,"4,1",normaliz,0.137587070465,78,89
c7c2,"1,1",normaliz,0.147294044495,78,89
c7c2,"4,0",normaliz,0.092169046402,44,45
c5c3,"0,1",normaliz,0.162218093872,92,82
c5c3,"1,2",normaliz,0.171488046646,82,89
c5c3,"3,2",normaliz,0.15752196312,82,89
c5c3,"0,0",normaliz,0.472856998444,322,155
c5c3,"3,0",normaliz,0.18331193924,126,64
c5c3,"3,1",normaliz,0.199944972992,82,89
c5c3,"2,1",normaliz,0.178240060806,82,89
c5c3,"1,1",normaliz,0.183709144592,82,89
c5c3,"2,0",normaliz,0.264465093613,126,64
c5c3,"2,2",normaliz,0.314195156097,82,89
c5c3,"4,2",normaliz,0.170242071152,82,89
c5c3,"1,0",normaliz,0.184806108475,126,64
c5c3,"4,1",normaliz,0.212585926056,82,89
c5c3,"0,2",normaliz,0.160681009293,92,82
c5c3,"4,0",normaliz,0.229962110519,126,64
c16,15,normaliz,0.455267190933,188,147
c16,0,normaliz,0.400954961777,205,170
c16,1,normaliz,0.772397994995,188,147
c16,2,normaliz,0.191456079483,73,81
c16,8,normaliz,0.176164865494,119,65
c16,3,normaliz,0.371650934219,188,147
c16,9,normaliz,0.427691936493,188,147
c16,4,normaliz,0.214056015015,109,64
c16,10,normaliz,0.168115854263,73,81
c16,5,normaliz,0.367130041122,188,147
c16,11,normaliz,0.408747911453,188,147
c16,6,normaliz,0.245820045471,73,81
c16,12,normaliz,0.221915006638,109,64
c16,7,normaliz,0.313269853592,188,147
c16,13,normaliz,0.430589914322,188,147
c16,14,normaliz,0.192155838013,73,81
c2c8,"0,1",normaliz,0.413354873657,109,142
