Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17
288,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
289,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0
292,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
293,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
294,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
295,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
296,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
297,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
299,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
300,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
302,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
304,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
305,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
306,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
307,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1
309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
310,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
311,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0
312,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
314,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
315,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
316,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
317,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
318,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
319,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0
321,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
322,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
323,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
324,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
325,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0
326,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
328,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
330,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0
331,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
332,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
333,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0
334,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1
336,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
337,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
338,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
339,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0
340,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0
341,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
344,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
345,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
346,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
349,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
351,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
352,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
353,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
354,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
355,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
356,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
357,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
359,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
360,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
361,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
