Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18
28,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1
31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
34,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
36,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1
37,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
47,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
48,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1
49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0
50,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
54,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
58,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
61,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
64,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
65,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
66,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
71,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
74,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
75,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
76,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
77,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
78,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
79,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
82,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
83,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
84,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
86,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
87,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0
88,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
89,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0
90,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
91,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
92,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
93,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
95,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
98,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
99,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
102,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
104,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
105,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
106,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
107,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
108,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
109,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
111,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
112,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
113,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
114,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
117,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
122,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
123,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
124,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
125,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
126,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
127,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
128,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
129,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
131,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
132,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
135,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
136,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
137,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
142,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
143,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
145,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
146,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
147,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
148,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
149,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
152,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
155,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
157,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
158,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
161,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
162,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
