Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
40,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
41,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
42,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0
43,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
44,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0
45,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
46,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
47,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0
48,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
49,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
50,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
51,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
52,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
54,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
55,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
57,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
58,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
59,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
60,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
61,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
62,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
63,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
64,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
65,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
67,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
68,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
69,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
70,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
71,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
72,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
73,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0
74,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0
75,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
76,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
77,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
78,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
79,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0
80,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
81,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
82,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0
83,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0
84,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
85,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
86,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
87,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
88,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
89,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
90,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
91,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0
92,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
93,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
94,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
96,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
97,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
98,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0
99,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
100,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
101,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
102,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0
103,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
104,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1
105,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
106,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
107,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
108,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
109,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
110,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
111,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
112,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
113,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
114,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
115,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
116,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
117,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
118,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
119,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
