# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17
166,-46,17,34,32,11,28,7,24,22,39,18,35,14,12,29,46,25,23,21
167,-46,17,34,32,30,28,7,24,22,39,18,16,14,12,29,46,25,23,21
168,-46,17,34,32,30,28,26,24,22,20,18,16,14,12,29,46,6,23,40
169,-42,18,17,16,15,14,32,12,30,10,28,27,26,25,24,42,22,21,20
170,-42,18,17,16,15,14,32,31,11,10,28,27,26,25,24,42,22,21,20
171,-42,18,17,16,15,33,13,12,30,29,9,27,26,25,24,42,22,21,20
172,-42,18,17,16,15,33,32,12,30,10,9,27,26,25,24,42,22,21,20
173,-42,18,17,16,15,33,32,31,11,10,9,27,26,25,24,42,22,21,20
174,-42,18,17,16,34,14,13,12,30,29,28,8,26,25,24,42,22,21,20
175,-42,18,17,16,34,14,13,31,11,29,28,8,26,25,24,42,22,21,20
176,-42,18,17,16,34,14,32,12,30,10,28,8,26,25,24,42,22,21,20
177,-42,18,17,16,34,14,32,31,11,10,28,8,26,25,24,42,22,21,20
178,-42,18,17,16,34,33,13,31,11,29,9,8,26,25,24,42,22,21,20
179,-42,18,17,16,34,33,32,12,30,10,9,8,26,25,24,42,22,21,20
180,-42,18,17,16,34,33,32,31,11,10,9,8,26,25,24,42,22,21,20
181,-80,18,17,16,34,33,32,50,30,48,47,46,64,63,62,80,60,40,20
182,-42,18,17,35,15,14,13,12,30,29,28,27,7,25,24,42,22,21,20
183,-42,18,17,35,15,14,32,12,30,10,28,27,7,25,24,42,22,21,20
184,-42,18,36,16,15,14,13,12,30,29,28,27,26,6,24,42,22,21,20
185,-42,18,36,16,15,14,32,12,30,10,28,27,26,6,24,42,22,21,20
186,-42,18,36,16,15,33,13,12,30,29,9,27,26,6,24,42,3,21,39
187,-42,18,36,16,15,33,13,12,30,29,9,27,26,6,24,42,22,21,20
188,-42,18,36,16,15,33,32,12,30,10,9,27,26,6,24,42,22,21,20
189,-42,18,36,16,34,14,13,12,30,29,28,8,26,6,24,42,22,21,20
190,-42,18,36,16,34,14,32,12,30,10,28,8,26,6,24,42,22,21,20
191,-80,18,36,16,34,33,32,31,49,48,47,46,64,44,62,80,60,40,20
192,-80,18,36,16,34,52,32,31,49,48,28,46,64,44,62,80,60,40,20
193,-42,18,36,35,15,14,13,12,30,29,28,27,7,6,24,42,22,21,20
194,-80,18,36,35,53,71,70,50,30,10,9,27,45,44,62,80,60,40,20
195,-80,18,36,54,34,52,32,31,49,48,28,46,26,44,62,80,60,40,20
196,-80,18,36,54,34,52,51,31,49,29,28,46,26,44,62,80,60,40,20
197,-80,18,36,54,53,52,32,50,30,48,28,27,26,44,62,80,60,40,20
198,-80,18,36,54,53,52,70,50,30,10,28,27,26,44,62,80,60,40,20
199,-34,20,2,22,4,24,6,26,8,28,10,30,12,32,14,34,16,17,18
200,-34,20,21,22,4,24,6,26,8,28,10,30,12,13,14,34,16,17,18
201,-34,20,21,22,4,24,25,26,8,9,10,30,12,13,14,34,16,17,18
202,-34,20,21,22,23,24,6,7,27,28,10,11,12,13,14,34,16,17,18
203,-34,20,21,22,23,24,6,26,8,28,10,11,12,13,14,34,16,17,18
204,-34,20,21,22,23,24,25,7,27,9,10,11,12,13,14,34,16,17,18
205,-34,20,21,22,23,24,25,26,8,9,10,11,12,13,14,34,16,17,18
206,-72,20,21,22,23,24,25,45,27,47,48,49,50,51,52,72,54,36,18
207,-72,20,21,22,23,24,44,26,46,28,48,49,50,51,52,72,54,36,18
208,-72,20,21,22,23,24,44,45,27,28,48,49,50,51,52,72,54,36,18
209,-72,20,21,22,23,43,25,26,46,47,29,49,50,51,52,72,54,36,18
210,-72,20,21,22,23,43,44,26,46,28,29,49,50,51,52,72,54,36,18
211,-72,20,21,22,42,24,25,26,46,47,48,30,50,51,52,72,54,36,18
212,-72,20,21,22,42,24,25,45,27,47,48,30,50,51,52,72,54,36,18
213,-72,20,21,22,42,24,44,26,46,28,48,30,50,51,52,72,54,36,18
214,-72,20,21,22,42,24,44,45,27,28,48,30,50,51,52,72,54,36,18
215,-72,20,21,22,42,43,25,45,27,47,29,30,50,51,52,72,54,36,18
216,-72,20,21,41,23,24,25,26,46,47,48,49,31,51,52,72,54,36,18
217,-72,20,21,41,23,24,44,26,46,28,48,49,31,51,52,72,54,36,18
