# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
41,-36,9,18,27,36,28,20,12,4,13,22,14,23,32,24,16,8
42,-36,9,18,27,36,28,20,12,21,13,22,14,23,15,24,16,8
43,-36,9,18,27,36,28,20,12,21,30,22,14,6,15,24,16,8
44,-36,9,18,27,36,28,20,29,21,13,22,14,23,15,7,16,8
45,-40,10,20,30,40,16,9,19,12,22,15,25,18,28,21,31,24
46,-40,10,20,30,40,16,9,19,12,22,32,8,18,28,21,31,24
47,-40,10,20,30,40,16,9,19,29,22,32,8,18,11,21,31,24
48,-40,10,20,30,40,16,26,19,12,5,15,25,35,28,21,14,24
49,-40,10,20,30,40,16,26,19,29,22,32,8,18,11,21,14,24
50,-40,10,20,30,40,33,26,19,12,5,15,25,35,28,21,14,7
51,-40,10,20,30,40,33,26,19,12,22,15,25,18,28,21,14,7
52,-40,10,20,30,40,33,26,19,29,22,15,25,18,11,21,14,7
53,-44,11,22,33,44,38,32,26,20,14,25,19,30,24,18,12,6
54,-44,11,22,33,44,38,32,26,20,31,25,19,13,24,18,12,6
55,-48,12,24,36,48,9,21,16,28,23,18,30,25,20,32,27,39
56,-48,12,24,36,48,9,21,16,28,40,18,30,8,20,32,27,39
57,-48,12,24,36,48,26,4,16,28,40,35,13,8,20,32,44,22
58,-48,12,24,36,48,26,21,16,11,6,18,30,42,37,32,27,22
59,-48,12,24,36,48,26,21,16,28,6,18,30,42,20,32,27,22
60,-48,12,24,36,48,26,21,33,11,6,18,30,42,37,15,27,22
61,-48,12,24,36,48,26,21,33,11,23,18,30,25,37,15,27,22
62,-48,12,24,36,48,26,38,16,28,23,35,13,25,20,32,10,22
63,-48,12,24,36,48,26,38,33,28,23,18,30,25,20,15,10,22
64,-48,12,24,36,48,43,38,33,28,23,18,30,25,20,15,10,5
65,-18,13,9,5,18,14,10,6,2,15,11,7,3,16,12,8,4
66,-52,13,26,39,52,14,10,23,19,32,28,24,20,33,29,42,38
67,-52,13,26,39,52,14,27,40,36,32,28,24,20,16,12,25,38
68,-52,13,26,39,52,31,44,40,36,32,28,24,20,16,12,8,21
69,-52,13,26,39,52,48,44,40,36,32,28,24,20,16,12,8,4
70,-22,14,11,8,22,2,16,13,10,7,4,18,15,12,9,6,20
71,-22,14,11,8,22,19,16,13,10,7,4,18,15,12,9,6,3
72,-56,14,28,42,56,36,16,30,10,24,21,35,32,46,26,40,20
73,-56,14,28,42,56,36,16,30,44,24,21,35,32,12,26,40,20
74,-56,14,28,42,56,36,33,30,10,7,21,35,49,46,26,23,20
75,-26,15,13,11,26,7,5,20,18,16,14,12,10,8,6,21,19
76,-26,15,13,11,26,7,22,20,18,16,14,12,10,8,6,4,19
