count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
2,-6.50,2.75,3.25,5.50,2.75,1.75,2.25,4.50,1.75,4.00,1.25,3.50,4.00,3.00,3.50,2.50,3.00,2.00,2.50,4.75,5.25,1.00,4.75,3.75,4.25,3.75
1,-6.50,5.50,3.25,4.50,2.25,3.50,1.25,2.50,3.50,4.75,2.50,3.75,4.75,2.75,3.75,1.75,2.75,4.00,1.75,3.00,4.00,2.00,3.00,1.00,5.25,4.25
16,-26.00,22.00,13.00,18.00,9.00,14.00,5.00,10.00,1.00,6.00,23.00,2.00,19.00,24.00,15.00,20.00,11.00,16.00,7.00,12.00,3.00,8.00,25.00,4.00,21.00,17.00
1,-4.88,3.13,2.44,1.38,2.31,2.88,2.19,2.75,3.69,1.00,3.56,2.50,3.44,2.38,3.31,3.88,1.56,2.12,1.44,2.00,1.31,3.50,1.19,1.75,2.69,2.56
1,-3.00,2.00,1.50,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00
10,-13.00,2.00,6.50,4.00,2.00,6.00,4.00,8.00,6.00,10.00,8.00,12.00,10.00,1.00,12.00,3.00,1.00,5.00,3.00,7.00,5.00,9.00,7.00,11.00,9.00,11.00
1,-6.50,3.00,3.25,1.67,3.00,2.50,4.92,3.33,2.50,2.00,5.50,5.00,2.00,1.50,5.00,4.50,1.50,3.17,4.50,4.00,1.00,4.83,4.00,3.50,1.58,3.50
1,-5.20,2.40,2.60,2.20,1.10,2.00,2.20,3.10,3.30,4.20,3.10,1.40,1.60,3.80,4.00,1.00,1.20,2.10,3.60,3.20,2.10,3.00,1.90,2.80,3.00,4.10
1,-4.33,2.33,2.17,1.42,1.25,2.67,1.42,2.83,2.67,3.00,2.83,3.17,3.00,1.17,1.00,1.33,3.33,1.50,1.33,1.67,1.50,2.92,1.67,2.00,2.92,3.08
1,-8.67,3.67,4.33,3.00,3.67,6.67,3.00,6.00,2.33,5.33,1.67,4.67,1.00,4.00,4.67,3.33,4.00,2.67,7.67,2.00,7.00,5.67,6.33,5.00,5.67,5.00
