count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26
1,-7.00,6.00,5.25,4.25,3.50,5.00,2.50,1.75,5.00,4.00,3.25,2.50,4.00,3.00,1.50,2.00,3.00,4.00,1.00,5.50,3.00,4.00,4.50,3.75,3.00,2.00,4.50,2.75
1,-9.33,3.33,4.67,5.67,4.67,6.67,3.33,4.67,4.33,5.33,2.00,1.00,3.00,4.00,4.33,2.67,1.67,3.00,6.00,5.00,6.33,7.67,8.33,7.33,6.33,5.00,6.00,3.67
2,-7.00,4.00,3.50,4.00,3.50,1.00,4.00,3.50,4.50,5.00,4.50,4.00,5.00,2.00,1.00,6.00,5.50,5.00,3.00,6.00,2.00,1.50,3.00,2.50,2.00,2.50,3.00,3.00
2,-14.00,10.00,7.00,3.00,7.00,6.00,10.00,7.00,13.00,2.00,6.00,3.00,9.00,12.00,6.00,8.00,5.00,2.00,4.00,8.00,12.00,9.00,11.00,8.00,5.00,1.00,4.00,11.00
1,-7.00,4.00,4.08,5.75,3.50,1.00,2.83,2.92,2.75,5.00,4.50,2.25,2.08,2.00,3.92,6.00,3.75,1.50,3.00,3.08,5.50,3.25,4.75,2.50,4.92,4.25,4.17,1.25
1,-5.25,1.00,3.94,1.44,2.63,2.00,3.63,1.31,2.44,3.00,1.13,2.31,1.69,2.25,1.56,3.25,2.69,2.13,4.25,3.69,3.13,2.56,2.94,4.13,3.56,2.81,1.63,3.81
1,-6.46,4.00,2.69,2.38,3.23,3.69,2.92,3.77,4.23,3.38,4.77,3.46,1.77,3.08,1.00,2.77,1.46,4.46,2.46,5.46,2.00,5.00,3.00,1.69,4.69,2.23,3.54,4.08
1,-7.64,2.18,4.45,6.64,3.82,4.36,3.45,3.18,3.73,4.00,5.64,2.82,5.91,3.64,5.00,3.27,3.00,2.73,5.45,2.64,4.91,4.64,4.82,2.00,1.73,3.91,4.18,1.00
14,-28.00,20.00,21.00,13.00,14.00,12.00,6.00,7.00,5.00,4.00,26.00,27.00,25.00,24.00,19.00,16.00,17.00,18.00,8.00,9.00,10.00,11.00,1.00,2.00,3.00,23.00,22.00,15.00
5,-14.00,8.00,10.50,4.50,7.00,2.00,1.00,3.50,12.50,10.00,9.00,11.50,6.50,4.00,5.50,12.00,7.50,3.00,6.00,8.50,11.00,6.50,2.50,5.00,7.50,1.50,13.00,9.50
1,-7.00,6.00,3.50,2.50,3.50,5.00,2.50,3.50,1.50,4.00,1.50,2.50,4.00,3.00,5.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,4.50,5.50,3.00,5.50,4.50,4.50
1,-7.00,6.00,1.75,2.50,3.50,5.00,4.25,5.25,3.25,4.00,5.00,4.25,4.88,3.00,4.13,2.00,3.88,4.00,1.00,2.88,3.00,3.13,2.75,2.00,2.12,3.75,2.75,4.50
1,-7.00,1.00,1.75,2.75,3.50,2.00,4.50,5.25,3.75,3.00,5.50,2.75,4.75,4.00,1.42,5.00,5.75,4.17,6.00,5.58,2.83,1.25,4.25,1.50,2.25,3.25,2.50,4.25
5,-7.00,2.00,5.25,2.00,3.50,4.00,2.00,1.75,4.00,6.00,4.00,2.00,6.00,1.00,4.00,3.00,1.00,6.00,5.00,3.00,1.00,6.00,5.00,3.00,1.00,3.00,5.00,5.00
2,-7.00,2.00,3.50,2.00,3.50,4.00,2.00,3.50,4.00,6.00,4.00,2.00,6.00,1.00,4.00,3.00,1.00,2.50,5.00,3.00,4.50,6.00,5.00,3.00,1.00,3.00,5.00,5.00
1,-4.00,2.00,3.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00
1,-7.00,5.00,5.25,3.25,3.50,3.00,1.50,1.75,1.25,1.00,3.00,1.50,4.50,6.00,4.75,4.00,4.25,4.50,2.00,2.25,2.50,2.75,5.50,4.00,2.50,5.75,5.50,3.75
4,-14.00,6.00,3.50,9.50,7.00,12.00,13.00,10.50,1.50,4.00,5.00,2.50,7.50,10.00,8.50,2.00,6.50,11.00,8.00,5.50,3.00,7.50,11.50,9.00,6.50,12.50,1.00,4.50
1,-5.25,4.25,2.19,1.19,2.63,3.25,1.63,3.06,1.94,2.25,2.38,2.06,2.69,3.00,1.06,2.00,3.44,3.13,1.00,4.19,2.13,1.81,3.19,2.88,2.56,3.31,3.63,4.06
1,-9.33,4.00,2.33,6.33,4.67,8.00,4.00,7.00,1.00,2.67,3.33,6.33,5.00,6.67,5.67,1.33,4.33,7.33,5.33,3.67,2.00,5.00,3.00,6.00,4.33,8.33,5.33,3.00
6,-14.00,12.00,3.50,1.50,7.00,10.00,5.00,10.50,6.50,8.00,3.00,8.50,11.50,6.00,6.50,4.00,9.50,1.00,2.00,7.50,13.00,4.50,5.50,11.00,2.50,7.50,9.00,12.50
1,-5.60,4.10,4.20,2.70,2.80,2.60,2.00,1.40,1.20,3.20,1.20,3.40,4.60,2.40,2.60,3.00,3.80,3.20,1.50,3.00,2.40,1.80,2.20,4.40,1.00,4.40,3.60,2.90
1,-4.80,1.60,1.80,1.80,2.40,3.20,1.60,3.00,1.00,1.60,1.60,3.20,2.20,3.20,3.40,1.60,3.20,2.80,3.20,1.40,2.00,1.60,1.60,3.20,2.60,3.80,3.20,3.00
1,-9.33,2.67,7.00,5.00,4.67,5.33,7.33,2.33,3.00,8.00,5.33,5.00,5.67,1.33,3.00,4.00,8.33,3.33,6.67,6.33,6.00,1.00,4.33,4.00,3.67,6.33,2.00,4.33
1,-7.00,6.00,5.25,4.25,3.50,5.00,2.50,1.75,5.58,4.00,3.83,5.42,4.58,3.00,4.42,2.00,3.58,2.83,1.00,2.58,4.17,3.42,1.58,3.17,2.42,1.42,4.50,2.75
2,-7.00,2.00,1.75,1.75,3.50,4.00,3.50,5.25,1.75,6.00,3.50,5.25,1.75,1.00,5.25,3.00,1.75,3.50,5.00,1.75,3.50,5.25,1.75,3.50,5.25,5.25,3.50,5.25
4,-14.00,12.00,10.50,8.50,7.00,10.00,5.00,3.50,6.50,8.00,3.00,1.50,4.50,6.00,6.50,4.00,2.50,1.00,2.00,7.50,13.00,11.50,12.50,11.00,9.50,7.50,9.00,5.50
1,-4.67,2.00,1.17,2.00,2.33,2.83,2.00,3.50,2.83,3.67,1.67,2.00,3.67,1.00,1.67,1.83,1.00,3.67,2.67,3.00,1.00,3.67,2.67,3.00,1.00,1.83,2.67,2.67
1,-9.33,5.33,7.00,3.00,4.67,7.56,3.78,2.33,8.33,3.56,6.00,4.56,4.33,5.78,3.67,1.78,6.56,2.00,4.00,5.67,7.33,2.78,4.78,3.33,5.00,1.00,5.56,6.33
1,-3.00,2.00,2.00,2.00,1.50,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00
1,-4.67,1.78,3.50,1.39,2.33,2.00,1.00,1.17,2.39,2.22,2.78,1.39,1.83,2.44,1.61,2.67,1.28,1.44,2.89,3.06,3.22,3.39,3.28,1.89,2.83,2.28,3.67,3.28
1,-4.42,3.16,1.11,1.32,2.21,3.37,2.42,3.32,3.00,2.11,1.16,2.05,1.74,2.32,2.26,1.05,3.42,2.84,1.26,2.16,1.58,1.00,2.37,3.26,2.68,1.42,2.00,3.11
1,-4.67,3.33,1.17,2.94,2.33,2.00,1.00,3.50,1.61,2.22,1.22,2.17,1.83,2.44,2.39,2.67,2.06,1.44,1.33,2.28,3.22,2.61,2.50,3.44,2.83,3.06,3.67,1.72
1,-7.00,6.00,2.33,4.25,3.50,5.00,2.50,4.67,3.25,4.00,2.67,4.83,2.25,3.00,5.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,2.17,4.33,4.75,3.75,4.50,2.75
1,-4.00,1.43,3.00,1.43,2.00,2.86,1.43,1.00,1.86,2.29,2.86,2.43,1.29,1.71,2.86,1.14,2.71,2.29,2.57,1.14,1.71,1.29,1.57,1.14,2.71,2.14,2.57,2.57
1,-7.00,5.00,2.80,2.20,3.50,3.00,3.60,4.20,1.60,1.00,4.40,2.20,3.80,6.00,4.40,4.00,3.20,3.80,2.00,2.60,3.20,3.80,4.80,2.60,3.20,5.40,3.40,4.80
1,-5.60,1.00,4.20,3.80,2.80,2.00,2.40,1.40,3.40,3.00,2.00,2.40,4.40,2.60,3.40,3.60,1.20,3.00,4.60,2.20,2.60,4.40,3.20,3.60,1.20,2.20,3.20,1.80
1,-5.03,3.38,1.26,3.21,2.51,1.74,3.03,3.77,3.00,1.54,2.82,3.56,1.36,3.49,1.92,3.28,4.03,1.18,1.64,3.10,3.85,1.00,1.46,2.21,3.67,2.03,2.00,1.82
1,-7.00,1.00,1.75,2.75,3.50,2.00,4.50,5.25,2.00,3.00,2.00,2.75,3.00,4.00,3.75,5.00,2.25,3.00,6.00,3.25,4.00,4.75,4.25,5.00,4.00,5.00,2.50,4.25
1,-5.60,2.93,2.33,1.53,2.80,4.00,2.00,3.27,2.60,1.33,3.07,2.47,1.80,4.27,1.67,1.60,1.00,4.13,2.67,3.93,1.47,4.60,3.13,2.53,3.80,3.00,3.60,4.07
1,-4.00,2.00,3.00,3.00,2.00,1.00,2.00,1.00,3.00,2.00,2.00,1.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,3.00,1.00,2.00,1.00
1,-4.52,2.84,2.94,1.26,2.26,1.16,2.39,1.58,3.19,3.10,2.52,3.52,1.52,1.42,1.84,3.35,3.45,2.65,1.68,2.68,1.87,1.06,1.00,2.00,3.00,1.32,2.13,3.26
1,-4.15,2.37,2.85,3.15,2.07,2.67,2.89,1.30,1.37,2.96,2.15,2.63,1.67,1.19,2.93,1.48,3.00,1.41,1.78,1.22,2.74,1.15,1.52,2.00,2.48,2.78,1.26,1.00
1,-7.00,6.00,1.75,4.25,3.50,5.00,2.50,5.25,3.25,4.00,1.50,4.25,5.75,3.00,3.25,2.00,4.75,4.00,1.00,3.75,3.00,2.25,2.75,5.50,1.25,3.75,4.50,2.75
1,-7.00,1.00,5.25,5.25,3.50,2.00,3.50,1.75,5.25,3.00,3.50,2.75,5.25,4.00,1.75,5.00,5.25,3.50,6.00,5.25,3.50,1.75,4.25,3.50,1.75,1.75,3.50,1.75
1,-7.00,4.50,3.50,4.50,3.50,2.00,1.00,3.50,2.00,3.00,2.00,1.00,3.00,4.00,5.50,5.00,4.00,3.00,2.50,1.50,4.00,3.00,6.00,5.00,4.00,5.00,6.00,2.50
1,-9.33,5.33,7.00,3.00,4.67,1.33,5.33,2.33,8.33,6.67,6.00,7.67,4.33,2.67,3.67,8.00,2.67,2.00,4.00,5.67,7.33,6.67,1.67,3.33,5.00,1.00,4.00,6.33
1,-4.42,3.16,1.11,2.79,2.21,1.89,2.42,3.32,1.53,2.11,1.16,2.05,3.21,2.32,2.26,2.53,3.42,1.37,1.26,2.16,3.05,1.00,2.37,3.26,1.21,2.89,2.00,1.63
1,-4.00,2.67,1.00,1.00,2.00,2.67,2.00,3.00,1.00,2.67,2.00,1.67,1.00,1.33,3.00,1.33,1.00,2.00,1.33,1.00,2.00,3.00,2.33,2.00,3.00,3.00,2.00,3.00
1,-7.00,3.00,3.50,3.00,3.50,2.50,3.00,3.50,6.00,2.00,6.00,3.00,2.00,5.00,6.00,4.50,5.00,2.00,4.00,1.00,5.00,2.00,4.00,1.00,5.00,1.00,4.00,4.00
1,-7.00,6.00,1.75,2.50,3.50,5.00,2.50,5.25,1.50,4.00,3.25,4.25,5.75,3.00,3.25,2.00,4.75,4.00,1.00,3.75,3.00,2.25,2.75,3.75,1.25,5.50,4.50,4.50
8,-7.00,1.00,1.75,1.00,3.50,2.00,1.00,5.25,2.00,3.00,2.00,1.00,3.00,4.00,2.00,5.00,4.00,3.00,6.00,5.00,4.00,3.00,6.00,5.00,4.00,5.00,6.00,6.00
19,-28.00,12.00,21.00,5.00,14.00,24.00,26.00,7.00,17.00,8.00,10.00,19.00,1.00,20.00,3.00,4.00,13.00,22.00,16.00,25.00,6.00,15.00,9.00,18.00,27.00,11.00,2.00,23.00
1,-9.33,5.33,2.33,7.67,4.67,1.33,5.33,7.00,3.67,6.67,6.00,3.00,6.67,2.67,8.33,8.00,5.00,2.00,4.00,1.00,7.33,4.33,6.33,3.33,2.67,5.67,4.00,1.67
1,-7.00,2.00,1.75,2.00,3.50,4.00,2.00,5.25,4.00,2.50,4.00,2.00,4.25,4.50,4.00,3.00,1.00,6.00,5.00,3.00,1.00,6.00,5.00,3.00,2.75,3.00,5.00,5.00
3,-14.00,6.00,7.00,6.00,7.00,5.00,6.00,7.00,5.00,4.00,12.00,13.00,11.00,10.00,5.00,9.00,10.00,4.00,8.00,9.00,10.00,4.00,1.00,2.00,3.00,9.00,8.00,8.00
1,-6.22,2.22,2.33,1.44,3.11,1.33,3.78,3.89,3.67,3.56,2.89,3.00,2.78,2.67,5.22,4.89,5.00,2.00,4.00,1.00,4.22,1.22,3.22,3.33,3.44,2.56,2.44,4.78
1,-5.60,3.20,1.40,4.60,2.80,2.67,2.27,4.20,4.07,4.00,3.60,1.80,3.53,1.60,1.27,2.93,3.00,3.07,2.40,4.33,2.53,2.60,3.80,2.00,2.07,1.53,3.33,1.00
1,-5.60,2.00,1.40,2.00,2.80,4.00,2.00,4.20,4.00,3.20,1.20,3.40,4.60,2.40,2.60,1.60,2.40,1.80,3.60,3.00,3.80,3.20,2.20,4.40,1.00,1.60,3.60,3.60
1,-7.00,1.00,5.25,1.00,3.50,2.00,1.00,1.75,2.00,3.00,2.00,2.75,3.00,4.00,2.00,5.00,4.00,3.00,6.00,5.00,4.00,3.00,4.25,5.00,4.00,5.00,6.00,6.00
1,-4.27,1.36,3.20,2.66,2.14,1.76,2.07,1.07,2.12,3.12,1.05,1.00,2.05,1.15,1.41,2.51,1.51,1.46,2.92,2.86,2.81,2.76,3.27,3.22,2.22,2.15,2.20,1.61
1,-5.60,2.40,4.20,1.00,2.80,2.93,1.47,1.40,3.40,1.60,2.00,1.93,2.07,4.00,2.47,2.67,2.60,4.40,3.20,3.13,1.20,3.00,3.67,3.60,3.53,2.20,4.13,4.60
1,-7.00,6.00,5.25,5.25,3.50,5.00,3.50,1.75,4.25,4.00,3.50,1.75,5.25,3.00,1.75,2.00,5.25,3.50,1.00,5.25,3.50,1.75,5.25,3.50,1.75,2.75,3.50,1.75
1,-9.33,6.67,7.00,4.33,4.67,4.00,2.00,2.33,4.78,1.33,5.56,2.78,8.33,8.00,6.33,5.33,5.67,6.00,2.67,3.00,3.33,3.67,6.56,3.78,1.00,4.56,7.33,5.00
1,-5.60,2.00,4.20,3.40,2.80,4.00,2.00,1.40,2.60,3.20,4.00,3.40,4.60,2.40,2.60,1.60,3.80,3.20,3.60,3.00,2.40,1.80,2.20,1.60,1.00,3.00,3.60,2.20
1,-5.60,3.60,1.40,2.20,2.80,1.60,3.60,4.20,3.00,2.40,3.00,4.30,3.80,3.20,2.30,4.00,4.60,1.00,2.00,3.30,4.60,1.00,1.30,2.60,1.80,2.60,2.00,3.40
1,-7.00,6.00,3.50,2.50,3.50,5.00,3.67,3.50,1.50,4.00,3.83,4.83,1.67,3.00,3.83,2.00,1.83,4.00,1.00,3.17,3.00,5.17,2.17,3.17,5.33,5.50,3.33,4.50
1,-7.00,6.00,5.25,5.25,3.50,5.00,3.50,1.75,5.25,4.00,3.50,1.75,5.25,3.00,1.75,2.00,4.25,3.50,1.00,5.25,3.50,2.75,5.25,3.50,1.75,1.75,3.50,1.75
1,-7.00,1.00,1.75,1.00,3.50,2.00,2.75,5.25,2.00,3.00,2.00,4.50,3.00,4.00,3.75,5.00,4.00,3.00,6.00,3.25,4.00,3.00,2.50,5.00,4.00,5.00,4.25,6.00
1,-7.00,4.00,1.75,4.00,3.50,1.00,4.00,5.25,1.00,5.00,1.00,4.00,5.00,2.00,2.75,6.00,2.00,5.00,3.00,4.25,2.00,5.00,3.00,6.00,2.00,6.00,3.00,3.00
1,-9.33,4.27,4.20,1.00,4.67,6.67,3.33,5.13,3.40,5.33,2.00,5.67,7.67,4.00,4.33,2.67,6.33,2.53,5.07,5.00,6.80,3.00,3.67,7.33,1.67,5.93,6.00,8.33
12,-14.00,8.00,7.00,1.00,7.00,2.00,8.00,7.00,9.00,10.00,2.00,1.00,3.00,4.00,9.00,12.00,11.00,10.00,6.00,5.00,4.00,3.00,13.00,12.00,11.00,5.00,6.00,13.00
1,-6.22,3.56,2.33,4.33,3.11,2.44,2.00,3.89,4.78,1.33,2.44,2.78,2.11,4.89,3.22,3.78,1.00,2.89,2.67,3.00,3.33,5.22,3.44,3.78,4.11,1.44,4.22,1.89
1,-3.00,1.00,2.00,1.00,1.50,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00
1,-4.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,3.00,2.00,3.00
1,-7.00,2.00,3.50,2.00,3.50,4.00,2.00,3.50,4.00,6.00,4.00,2.00,6.00,1.00,4.00,3.00,4.50,6.00,5.00,3.00,1.00,2.50,5.00,3.00,1.00,3.00,5.00,5.00
1,-7.00,1.00,3.50,4.50,3.50,2.00,4.50,3.50,5.50,3.00,2.00,1.00,3.00,4.00,2.00,5.00,4.00,3.00,6.00,5.00,4.00,3.00,6.00,5.00,4.00,1.50,2.50,2.50
1,-6.09,3.48,4.57,1.96,3.04,2.09,4.09,1.52,3.00,4.35,3.91,5.00,2.83,1.74,3.61,4.00,5.09,2.52,2.61,2.48,3.57,1.00,1.09,2.17,3.26,3.09,2.00,4.13
1,-9.33,4.00,5.44,6.33,4.67,4.89,2.44,3.89,1.00,2.67,3.33,1.67,5.00,6.67,5.67,4.44,5.89,7.33,5.33,3.67,2.00,3.44,7.67,6.00,4.33,8.33,6.89,3.00
1,-5.09,1.09,3.18,3.00,2.55,2.18,2.36,1.91,4.09,3.27,3.45,1.73,1.36,1.82,2.82,2.91,2.45,2.00,4.00,2.27,3.09,2.64,3.36,1.64,3.73,1.00,2.73,2.09
1,-7.00,2.00,4.08,1.42,3.50,4.00,5.50,2.92,2.25,6.00,2.83,3.75,4.25,1.00,5.75,3.00,2.75,2.50,5.00,1.25,4.50,4.25,3.25,4.17,2.75,4.75,1.50,5.58
1,-4.67,3.67,3.50,3.08,2.33,2.67,2.50,1.17,2.67,1.67,1.50,3.08,3.42,3.00,3.25,2.00,2.42,2.83,1.00,1.42,1.83,2.25,1.58,3.17,1.25,2.00,2.17,1.58
2,-7.00,1.00,5.25,1.00,3.50,2.00,2.75,1.75,2.00,3.00,2.00,1.00,3.00,4.00,2.00,5.00,4.00,3.00,6.00,5.00,4.00,3.00,6.00,5.00,4.00,5.00,4.25,6.00
1,-4.42,3.37,1.11,1.53,2.21,2.32,1.16,3.32,3.42,1.26,3.05,2.26,2.37,3.16,2.68,2.11,1.32,2.00,1.05,1.74,2.42,3.11,2.16,1.37,2.05,1.00,3.26,2.89
2,-7.00,3.00,5.25,5.25,3.50,6.00,3.50,1.75,5.25,2.00,3.50,1.75,5.25,5.00,1.75,1.00,5.25,3.50,4.00,5.25,3.50,1.75,5.25,3.50,1.75,1.75,3.50,1.75
1,-9.33,4.00,2.33,6.33,4.67,4.89,2.44,7.00,1.00,2.67,3.33,1.67,5.00,6.67,5.67,4.44,5.89,7.33,5.33,3.67,2.00,3.44,7.67,6.00,4.33,8.33,6.89,3.00
1,-5.00,2.00,3.75,1.75,2.50,1.00,2.50,1.25,3.75,3.00,2.50,1.25,2.75,2.00,1.25,4.00,3.75,2.50,3.00,3.75,2.50,1.25,3.75,2.50,2.25,1.25,2.50,3.25
2,-9.33,7.33,2.33,5.00,4.67,5.33,7.33,7.00,3.00,3.33,5.33,5.00,1.00,6.00,3.00,4.00,3.67,3.33,2.00,6.33,6.00,5.67,4.33,4.00,8.33,6.33,2.00,4.33
1,-7.00,4.00,1.75,4.00,3.50,2.75,4.00,5.25,1.00,5.00,2.75,4.00,5.00,2.00,1.00,4.25,2.00,5.00,3.00,6.00,2.00,5.00,3.00,4.25,2.00,6.00,3.00,3.00
1,-9.33,3.33,5.83,4.50,4.67,2.00,1.00,3.50,3.17,5.33,4.33,6.83,6.50,4.00,5.50,7.33,5.17,3.00,6.00,3.83,6.33,4.17,2.50,5.00,2.83,6.17,8.33,4.83
1,-14.00,2.00,10.50,5.50,7.00,4.00,9.00,3.50,7.50,6.00,11.00,5.50,2.50,8.00,7.50,10.00,4.50,13.00,12.00,6.50,1.00,9.50,8.50,3.00,11.50,6.50,5.00,8.50
1,-7.00,3.00,3.50,3.00,3.50,6.00,3.00,3.50,2.50,2.00,2.50,4.75,2.00,5.00,2.50,1.00,1.50,2.00,4.00,4.50,5.00,5.50,2.25,4.50,5.00,4.50,4.00,4.00
1,-14.00,2.00,7.00,9.00,7.00,4.00,2.00,7.00,11.00,6.00,4.00,9.00,13.00,8.00,11.00,10.00,8.00,6.00,12.00,3.00,8.00,6.00,5.00,10.00,1.00,3.00,12.00,5.00
1,-4.94,2.35,2.88,1.94,2.47,3.06,1.53,2.06,1.00,3.76,3.06,2.76,3.35,1.18,3.47,1.88,3.24,2.94,2.59,1.47,2.00,1.71,2.18,1.88,1.59,3.94,3.41,3.00
21,-28.00,24.00,7.00,3.00,14.00,20.00,10.00,21.00,27.00,16.00,6.00,17.00,23.00,12.00,13.00,8.00,19.00,2.00,4.00,15.00,26.00,9.00,11.00,22.00,5.00,1.00,18.00,25.00
1,-6.22,4.89,3.89,4.11,3.11,3.56,3.33,2.33,4.33,2.22,2.00,1.00,3.00,4.00,2.78,2.67,4.78,3.78,1.33,3.44,2.44,1.44,5.22,4.22,3.22,1.89,2.89,2.11
2,-9.33,4.00,2.33,6.33,4.67,3.33,4.00,7.00,1.00,2.67,3.33,1.67,5.00,6.67,5.67,6.00,4.33,7.33,5.33,3.67,2.00,5.00,7.67,6.00,4.33,8.33,5.33,3.00
1,-7.00,4.00,5.25,2.25,3.50,1.00,4.00,1.75,4.50,5.00,2.75,4.00,3.25,2.00,2.75,6.00,2.00,5.00,3.00,4.25,2.00,5.00,3.00,4.25,3.75,2.50,3.00,4.75
2,-7.00,4.00,1.75,2.25,3.50,1.00,4.00,5.25,2.75,5.00,4.50,5.75,3.25,2.00,4.50,6.00,3.75,5.00,3.00,2.50,2.00,3.25,1.25,2.50,3.75,4.25,3.00,4.75
13,-14.00,12.00,7.00,5.00,7.00,10.00,12.00,7.00,3.00,8.00,10.00,5.00,1.00,6.00,3.00,4.00,13.00,8.00,2.00,11.00,6.00,1.00,9.00,4.00,13.00,11.00,2.00,9.00
1,-5.60,4.00,4.20,2.60,2.80,2.40,2.60,1.40,1.00,3.60,1.00,2.60,3.60,2.00,1.00,3.20,2.00,3.60,1.60,4.60,2.00,3.60,3.00,4.60,2.00,4.60,3.00,3.00
16,-28.00,16.00,7.00,23.00,14.00,4.00,2.00,21.00,11.00,20.00,18.00,9.00,27.00,8.00,25.00,24.00,15.00,6.00,12.00,3.00,22.00,13.00,19.00,10.00,1.00,17.00,26.00,5.00
2,-9.33,3.67,7.00,8.33,4.67,2.67,6.00,2.33,2.67,4.00,7.33,3.67,6.33,5.33,5.00,6.67,3.00,4.00,5.67,4.33,5.33,6.33,5.67,2.00,3.00,6.67,3.33,1.00
1,-7.00,6.00,5.25,6.00,3.50,5.00,4.25,1.75,5.00,4.00,5.00,6.00,4.00,3.00,5.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,1.00,2.00,3.00,2.00,2.75,1.00
3,-14.00,10.00,7.00,3.00,7.00,6.00,10.00,7.00,6.00,2.00,6.00,3.00,9.00,12.00,13.00,8.00,5.00,2.00,4.00,1.00,12.00,9.00,11.00,8.00,5.00,8.00,4.00,11.00
1,-14.00,10.00,7.00,3.00,7.00,6.00,10.00,7.00,6.00,9.00,6.00,3.00,9.00,5.00,13.00,8.00,5.00,2.00,4.00,1.00,12.00,9.00,11.00,8.00,5.00,8.00,4.00,11.00
1,-7.00,4.00,1.75,4.00,3.50,1.00,4.00,5.25,2.75,5.00,4.50,4.00,5.00,2.00,4.50,6.00,2.00,5.00,3.00,2.50,2.00,5.00,3.00,2.50,2.00,4.25,3.00,3.00
4,-7.00,2.00,1.75,2.00,3.50,4.00,2.00,5.25,4.00,6.00,4.00,2.00,6.00,1.00,4.00,3.00,1.00,6.00,5.00,3.00,1.00,6.00,5.00,3.00,1.00,3.00,5.00,5.00
1,-9.33,5.33,2.33,4.56,4.67,7.56,3.78,7.00,6.78,3.56,6.00,3.00,2.78,5.78,8.33,1.78,5.00,2.00,4.00,1.00,7.33,4.33,6.33,3.33,6.56,2.56,5.56,4.78
1,-4.00,1.29,3.00,1.29,2.00,2.57,2.29,1.00,1.57,2.86,2.57,1.29,2.86,1.14,1.57,1.43,1.14,1.86,2.71,2.43,2.14,2.86,2.71,1.43,1.14,2.43,1.71,2.71
3,-14.00,10.00,10.50,6.50,7.00,6.00,3.00,3.50,9.50,2.00,13.00,6.50,5.50,12.00,9.50,8.00,8.50,9.00,4.00,4.50,5.00,5.50,7.50,1.00,8.50,4.50,11.00,7.50
1,-7.00,5.00,5.25,5.00,3.50,3.00,5.00,1.75,3.00,1.00,3.00,5.00,1.00,6.00,3.00,4.00,4.25,4.50,2.00,4.00,2.50,2.75,2.00,4.00,6.00,4.00,2.00,2.00
1,-7.00,4.00,1.75,5.75,3.50,1.00,2.83,5.25,2.75,5.00,4.50,2.25,4.42,2.00,1.58,6.00,3.75,3.83,3.00,5.42,3.17,3.25,4.75,2.50,2.58,4.25,4.17,1.25
1,-7.00,4.00,5.25,2.25,3.50,1.00,4.00,1.75,2.75,5.00,4.50,4.00,3.25,2.00,2.75,6.00,2.00,1.50,3.00,4.25,5.50,5.00,3.00,2.50,3.75,4.25,3.00,4.75
2,-7.00,1.00,5.25,2.75,3.50,2.00,1.00,1.75,2.00,3.00,2.00,1.00,3.00,4.00,2.00,5.00,4.00,3.00,6.00,5.00,4.00,3.00,6.00,5.00,4.00,5.00,6.00,4.25
1,-5.60,3.20,4.20,1.80,2.80,3.60,1.80,1.40,2.20,4.00,3.60,4.60,2.60,1.60,2.20,2.00,1.60,1.20,2.40,3.40,4.40,4.00,1.00,2.00,3.00,3.40,3.80,3.80
1,-4.67,2.89,3.50,1.72,2.33,2.67,3.67,1.17,1.50,3.22,1.89,2.50,2.06,1.44,1.50,2.00,1.83,1.67,1.78,3.17,3.00,2.83,2.17,2.78,2.61,3.17,1.00,2.94
1,-5.25,1.25,3.50,2.13,2.63,2.50,3.00,1.75,1.63,2.00,4.25,3.00,2.88,3.25,4.25,2.75,4.13,2.00,4.00,1.00,3.25,1.13,2.25,1.00,2.38,3.63,2.25,3.13
2,-14.00,4.00,7.00,11.00,7.00,8.00,4.00,7.00,8.00,12.00,8.00,11.00,5.00,2.00,1.00,6.00,9.00,12.00,10.00,13.00,2.00,5.00,3.00,6.00,9.00,6.00,10.00,3.00
1,-7.00,3.00,5.25,3.00,3.50,6.00,3.00,1.75,4.25,2.00,2.50,3.00,2.00,5.00,6.00,1.00,5.00,2.00,4.00,1.00,5.00,2.00,4.00,4.50,5.00,2.75,4.00,4.00
