count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22
1,-6.00,4.00,2.25,2.00,2.25,2.50,4.25,2.50,4.75,2.50,4.75,3.00,2.75,1.00,1.25,5.00,3.25,3.50,1.25,3.50,3.75,3.50,1.75,3.75
1,-8.00,4.00,7.00,4.00,3.00,6.00,7.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,5.00
1,-5.54,2.46,2.54,3.08,3.15,1.38,3.77,2.00,2.08,2.62,4.54,2.77,1.46,1.54,3.46,4.00,4.08,4.15,1.00,2.92,3.00,3.54,1.77,2.38
1,-8.00,2.67,7.00,5.33,1.67,6.00,4.33,4.67,5.00,3.33,5.67,4.00,2.33,6.67,3.00,1.33,5.67,2.00,2.33,4.67,1.00,3.33,3.67,6.33
2,-8.00,2.67,3.00,5.33,3.00,6.00,3.00,6.00,3.67,6.00,1.00,4.00,1.00,4.00,4.33,4.00,7.00,2.00,7.00,2.00,5.00,2.00,5.00,5.00
1,-6.00,4.00,1.50,2.00,2.50,3.00,3.50,1.00,1.50,5.00,2.50,3.00,3.50,4.00,4.50,2.00,2.50,3.00,3.50,1.00,4.50,5.00,2.50,3.50
1,-3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.50,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00
1,-6.86,4.57,3.00,2.29,4.14,4.86,1.86,3.71,4.43,4.86,2.14,3.43,1.00,2.86,2.43,4.00,5.86,2.00,4.71,2.00,3.86,3.14,5.00,2.71
1,-6.00,4.00,2.25,2.00,4.75,1.50,2.75,2.50,2.25,3.50,4.75,3.00,4.25,1.00,3.75,5.00,1.75,4.50,1.25,2.50,3.75,3.50,3.25,1.25
1,-8.00,5.33,7.00,2.67,4.33,6.00,5.67,3.33,5.00,4.67,2.33,4.00,3.67,5.33,3.00,2.67,4.33,2.00,5.67,3.33,1.00,4.67,2.33,3.67
4,-12.00,4.00,7.50,8.00,5.50,3.00,3.50,7.00,4.50,11.00,8.50,6.00,6.50,10.00,7.50,2.00,5.50,9.00,3.50,1.00,4.50,5.00,8.50,6.50
1,-8.00,4.00,5.00,4.00,5.00,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,3.00,6.00,7.00,3.00
1,-8.00,2.67,1.67,5.33,4.33,3.33,7.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,4.67,3.00,2.00,6.33,2.00,1.00,3.67
1,-6.00,2.00,2.25,4.00,1.25,4.50,3.25,2.50,3.75,2.50,4.75,3.00,1.75,5.00,2.25,1.00,4.25,1.50,1.25,3.50,3.75,3.50,2.75,4.75
