count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21
1,-7.67,4.33,1.00,5.33,2.00,3.78,3.00,4.78,4.00,5.78,5.00,1.67,6.00,2.67,1.89,3.67,2.89,4.67,3.89,5.67,2.33,6.67,3.33
1,-5.75,4.56,3.38,2.19,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00,3.25,3.50,3.75,4.00,4.25,4.50,4.75,3.56,2.38,1.19
18,-23.00,21.00,19.00,17.00,15.00,13.00,11.00,9.00,7.00,5.00,3.00,1.00,22.00,20.00,18.00,16.00,14.00,12.00,10.00,8.00,6.00,4.00,2.00
1,-5.75,1.25,2.50,3.75,2.13,3.38,1.75,3.00,4.25,4.06,1.00,2.25,3.50,4.75,1.69,1.50,2.75,4.00,2.38,3.63,2.00,3.25,4.50
1,-7.67,2.33,4.67,3.17,3.58,4.00,6.33,1.00,3.33,5.67,2.25,2.67,5.00,5.42,2.00,4.33,6.67,1.33,3.67,4.08,4.50,3.00,5.33
2,-7.67,5.33,3.00,3.22,6.00,3.67,1.33,6.67,4.33,2.00,2.22,5.00,2.67,5.44,5.67,3.33,1.00,6.33,4.00,1.67,4.44,4.67,2.33
1,-7.67,4.50,1.33,2.00,2.67,3.33,4.00,4.67,5.33,2.17,6.67,3.50,4.17,1.00,5.50,2.33,3.00,3.67,4.33,5.00,5.67,6.33,3.17
1,-9.20,6.20,3.20,4.80,6.40,3.40,5.00,2.00,8.20,5.20,6.80,3.80,5.40,2.40,4.00,1.00,7.20,4.20,5.80,2.80,4.40,6.00,3.00
1,-7.67,6.33,5.00,3.67,2.33,1.00,2.22,6.00,4.67,3.33,2.00,3.22,4.44,5.67,4.33,3.00,1.67,5.44,6.67,5.33,4.00,2.67,1.33
1,-4.18,1.18,1.32,1.45,1.59,1.73,2.91,2.00,3.18,1.23,1.36,2.55,1.64,2.82,2.95,1.00,2.18,1.27,2.45,2.59,2.73,2.86,3.00
1,-6.27,3.36,4.64,3.82,3.00,4.27,1.36,2.64,3.91,1.00,4.36,3.55,2.73,1.91,5.27,2.36,3.64,4.91,2.00,3.27,2.45,1.64,2.91
2,-7.67,2.67,5.33,5.44,3.00,5.67,3.22,3.33,6.00,1.00,3.67,6.33,1.33,4.00,6.67,1.67,4.33,4.44,2.00,4.67,2.22,2.33,5.00
3,-7.67,5.00,2.33,2.22,4.67,2.00,4.44,4.33,1.67,6.67,4.00,1.33,6.33,3.67,1.00,6.00,3.33,3.22,5.67,3.00,5.44,5.33,2.67
3,-11.50,3.00,6.00,9.00,6.25,3.50,6.50,9.50,1.00,4.00,7.00,4.25,7.25,4.50,7.50,10.50,2.00,5.00,8.00,5.25,2.50,5.50,8.50
1,-7.67,4.00,4.17,4.33,2.58,4.67,1.00,5.00,5.17,5.33,1.67,5.67,2.00,6.00,2.33,2.50,2.67,6.67,3.00,5.08,3.33,3.50,3.67
1,-3.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00
23,-23.00,16.00,9.00,2.00,18.00,11.00,4.00,20.00,13.00,6.00,22.00,15.00,8.00,1.00,17.00,10.00,3.00,19.00,12.00,5.00,21.00,14.00,7.00
1,-6.05,3.53,1.00,4.53,2.00,4.32,3.00,4.11,4.00,3.89,2.58,2.47,3.58,3.47,2.16,2.05,1.95,3.05,1.74,4.05,1.53,5.05,2.53
6,-11.50,1.50,3.00,4.50,6.00,7.50,9.00,10.50,6.25,2.00,3.50,5.00,6.50,8.00,9.50,5.25,1.00,2.50,4.00,5.50,7.00,8.50,10.00
1,-5.75,4.75,3.75,2.75,1.75,2.67,1.67,2.58,1.58,4.42,3.42,2.42,3.33,2.33,1.33,4.17,3.17,4.08,3.08,4.00,3.00,2.00,1.00
2,-7.67,6.00,4.33,2.67,1.00,3.17,5.33,3.67,2.00,2.25,6.33,4.67,3.00,1.33,5.42,5.67,4.00,2.33,4.50,6.67,5.00,3.33,1.67
16,-23.00,9.00,18.00,4.00,13.00,22.00,8.00,17.00,3.00,12.00,21.00,7.00,16.00,2.00,11.00,20.00,6.00,15.00,1.00,10.00,19.00,5.00,14.00
1,-9.20,5.00,5.40,5.80,6.20,2.00,2.40,2.80,3.20,8.20,4.00,4.40,4.80,5.20,1.00,6.00,6.40,6.80,7.20,3.00,3.40,3.80,4.20
1,-6.57,2.00,4.00,1.89,2.25,3.43,3.79,4.14,4.50,1.57,3.57,5.57,1.00,3.00,5.00,2.07,2.43,2.79,3.14,4.32,4.68,2.57,4.57
1,-3.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00
2,-7.67,2.33,4.67,3.17,1.67,4.00,6.33,1.00,3.33,5.67,4.17,2.67,5.00,3.50,2.00,4.33,6.67,1.33,3.67,6.00,4.50,3.00,5.33
1,-7.67,2.17,4.33,2.67,1.00,3.17,5.33,3.67,2.00,4.17,6.33,4.67,3.00,1.33,3.50,5.67,4.00,2.33,4.50,6.67,5.00,3.33,5.50
1,-5.75,3.25,3.63,4.00,4.38,4.75,2.25,2.63,3.00,3.38,3.75,1.25,4.50,2.00,2.38,2.75,3.13,3.50,1.00,1.38,1.75,2.13,2.50
2,-7.67,4.00,2.25,4.33,4.50,4.67,1.00,5.00,1.33,5.33,1.67,5.67,2.00,6.00,2.33,6.33,2.67,6.67,3.00,3.17,3.33,5.42,3.67
2,-7.67,2.33,4.67,4.44,1.67,4.00,6.33,1.00,3.33,5.67,5.44,2.67,5.00,2.22,2.00,4.33,6.67,1.33,3.67,6.00,3.22,3.00,5.33
1,-3.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00
2,-11.50,7.00,2.50,9.50,5.00,6.25,7.50,3.00,4.25,5.50,1.00,8.00,3.50,10.50,6.00,7.25,8.50,4.00,5.25,6.50,2.00,9.00,4.50
1,-7.67,5.33,3.00,4.50,6.00,3.67,5.17,6.67,4.33,2.00,3.50,5.00,2.67,4.17,5.67,3.33,1.00,2.50,4.00,1.67,3.17,4.67,2.33
1,-5.75,3.75,1.75,4.35,3.50,2.65,2.95,3.25,1.25,1.55,3.00,1.00,4.75,2.75,4.20,4.50,2.50,2.80,3.10,2.25,1.40,4.00,2.00
1,-7.67,3.17,6.33,5.67,5.00,4.33,3.67,3.00,2.33,5.50,1.00,4.17,3.50,6.67,2.17,5.33,4.67,4.00,3.33,2.67,2.00,1.33,4.50
1,-7.67,4.33,1.00,5.33,2.00,6.33,3.00,3.50,4.00,4.50,5.00,1.67,6.00,2.67,3.17,3.67,4.17,4.67,1.33,5.67,2.33,6.67,3.33
3,-7.67,2.00,4.00,6.00,5.44,2.33,4.33,6.33,3.22,2.67,4.67,6.67,1.00,3.00,5.00,4.44,1.33,3.33,5.33,2.22,1.67,3.67,5.67
1,-5.75,4.63,3.50,2.38,4.13,3.00,4.75,3.63,2.50,1.38,3.13,2.00,3.75,2.63,4.38,3.25,2.13,1.00,2.75,1.63,3.38,2.25,1.13
1,-3.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00
1,-5.75,1.00,2.00,3.00,1.13,2.13,3.13,1.25,2.25,3.25,4.25,2.38,3.38,1.50,2.50,3.50,4.50,2.63,3.63,4.63,2.75,3.75,4.75
1,-3.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00
1,-5.11,3.78,2.44,1.11,2.33,1.00,2.22,3.44,2.11,3.33,2.00,3.22,1.89,3.11,1.78,3.00,1.67,2.89,4.11,2.78,4.00,2.67,1.33
1,-5.75,4.50,3.25,2.00,3.63,2.38,4.00,2.75,1.50,3.13,4.75,3.50,2.25,1.00,2.63,4.25,3.00,1.75,3.38,2.13,3.75,2.50,1.25
1,-7.67,1.00,2.00,3.00,4.00,5.00,6.00,4.44,5.44,1.33,2.33,3.33,4.33,5.33,6.33,2.22,3.22,1.67,2.67,3.67,4.67,5.67,6.67
1,-5.31,1.46,2.92,2.62,2.31,2.00,3.46,3.15,2.85,4.31,4.00,1.92,3.38,1.31,1.00,2.46,2.15,1.85,3.31,3.00,2.69,2.38,3.85
3,-7.67,4.00,4.17,4.33,4.50,4.67,1.00,5.00,5.17,1.50,1.67,5.67,2.00,6.00,6.17,2.50,2.67,6.67,3.00,3.17,3.33,3.50,3.67
1,-11.50,4.00,8.00,6.25,4.50,8.50,1.00,5.00,3.25,7.25,5.50,9.50,2.00,6.00,4.25,8.25,6.50,10.50,3.00,7.00,5.25,3.50,7.50
1,-5.75,4.75,3.75,2.75,1.75,4.20,4.35,4.50,3.50,2.50,2.65,2.80,2.95,3.10,3.25,2.25,1.25,1.40,1.55,4.00,3.00,2.00,1.00
1,-7.67,4.17,4.50,1.00,5.17,5.50,2.00,6.17,2.67,3.00,3.33,3.67,4.00,4.33,4.67,5.00,1.50,5.67,2.17,2.50,6.67,3.17,3.50
1,-5.75,2.50,2.13,1.75,4.25,1.00,3.50,3.13,2.75,2.38,2.00,1.63,4.13,3.75,3.38,3.00,2.63,2.25,4.75,1.50,4.00,3.63,3.25
3,-7.67,3.50,3.17,6.67,6.33,2.17,5.67,5.33,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,2.33,2.00,5.50,1.33,1.00,4.50,4.17
2,-7.67,3.33,6.67,2.33,5.67,3.89,4.67,2.89,3.67,1.89,2.67,6.00,1.67,5.00,5.78,4.00,4.78,3.00,3.78,2.00,5.33,1.00,4.33
1,-6.05,3.79,1.53,4.11,3.05,2.00,2.16,3.53,2.47,5.05,4.00,1.74,4.32,2.05,1.00,3.58,2.53,3.89,4.05,3.00,1.95,4.53,2.26
1,-7.67,6.67,5.67,4.67,3.67,2.67,1.67,4.50,3.50,2.50,1.50,4.33,3.33,6.17,5.17,4.17,3.17,6.00,5.00,4.00,3.00,2.00,1.00
1,-7.67,2.50,5.00,3.67,6.17,1.00,3.50,2.17,4.67,3.33,2.00,4.50,3.17,5.67,4.33,3.00,5.50,4.17,6.67,1.50,4.00,2.67,5.17
25,-23.00,3.00,6.00,9.00,12.00,15.00,18.00,21.00,1.00,4.00,7.00,10.00,13.00,16.00,19.00,22.00,2.00,5.00,8.00,11.00,14.00,17.00,20.00
1,-7.67,5.33,3.00,4.50,6.00,3.67,1.33,6.67,4.33,2.00,5.42,5.00,2.67,2.25,5.67,3.33,1.00,6.33,4.00,1.67,3.17,4.67,2.33
1,-6.13,1.67,3.33,3.47,5.13,3.73,2.33,4.00,4.13,4.27,1.33,3.00,3.13,4.80,1.87,2.00,2.13,3.80,2.40,1.00,2.67,2.80,4.47
2,-7.67,5.00,2.33,3.50,4.67,2.00,3.17,4.33,1.67,6.67,4.00,1.33,6.33,3.67,1.00,6.00,3.33,4.50,5.67,3.00,4.17,5.33,2.67
1,-3.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00
1,-3.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00
1,-5.75,3.38,1.00,1.50,2.00,2.50,3.00,3.50,4.00,4.50,3.56,1.19,4.56,2.19,1.25,1.75,2.25,2.75,3.25,3.75,4.25,4.75,2.38
1,-3.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00
1,-7.67,3.50,3.17,6.67,2.50,2.17,5.67,1.50,3.08,4.67,4.33,4.00,3.67,3.33,3.00,4.58,6.17,2.00,5.50,5.17,1.00,4.50,4.17
1,-6.57,3.43,3.57,3.71,2.21,4.00,4.14,1.00,4.43,4.57,4.71,1.57,5.00,1.86,2.00,2.14,5.57,2.43,2.57,4.36,2.86,3.00,3.14
1,-5.75,3.00,1.21,3.25,2.42,3.50,3.63,3.75,1.00,4.00,1.25,4.25,1.50,4.50,1.75,4.75,2.00,2.13,2.25,3.33,2.50,4.54,2.75
1,-6.57,3.00,4.36,2.43,2.14,1.86,1.57,4.57,1.00,4.00,3.71,3.43,3.14,2.86,2.57,5.57,2.00,5.00,4.71,4.43,4.14,2.21,3.57
1,-4.60,1.80,3.60,2.33,2.60,2.87,1.60,3.40,2.13,2.40,1.13,1.40,3.20,3.47,2.20,2.47,1.20,3.00,1.73,2.00,2.27,1.00,2.80
1,-7.67,3.33,6.67,2.33,5.67,5.17,4.67,4.17,3.67,5.08,2.67,6.00,1.67,5.00,2.58,4.00,3.50,3.00,2.50,2.00,5.33,1.00,4.33
3,-11.50,4.00,8.00,6.25,4.50,8.50,1.00,5.00,9.00,1.50,5.50,9.50,2.00,6.00,10.00,2.50,6.50,10.50,3.00,7.00,5.25,3.50,7.50
1,-5.75,3.33,4.75,4.25,3.75,3.25,2.75,2.25,1.75,1.25,3.63,1.21,4.54,2.13,4.50,4.00,3.50,3.00,2.50,2.00,1.50,1.00,2.42
1,-5.31,2.92,2.31,3.46,1.08,4.00,1.62,1.00,2.15,3.31,2.69,2.08,3.23,2.62,2.00,3.15,4.31,3.69,1.31,4.23,1.85,3.00,2.38
1,-7.67,5.33,3.00,5.78,6.00,3.67,3.89,6.67,4.33,2.00,4.78,5.00,2.67,2.89,5.67,3.33,1.00,3.78,4.00,1.67,1.89,4.67,2.33
1,-5.96,1.74,3.48,1.81,1.00,1.89,2.78,1.96,2.00,2.04,3.78,2.96,3.00,2.19,3.93,3.96,4.00,3.19,4.07,4.96,4.15,2.48,4.22
1,-5.75,2.25,4.50,1.00,3.25,3.58,2.00,2.33,4.58,3.00,3.33,1.75,4.00,2.42,2.75,1.17,3.42,3.75,2.17,2.50,4.75,1.25,3.50
2,-7.67,3.50,3.17,6.67,2.50,6.00,5.67,1.50,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,6.17,2.00,1.67,5.17,1.00,4.50,4.17
3,-11.50,6.50,7.25,8.00,3.00,9.50,4.50,5.25,6.00,1.00,7.50,8.25,3.25,4.00,10.50,5.50,6.25,7.00,2.00,8.50,3.50,4.25,5.00
26,-23.00,5.00,10.00,15.00,20.00,2.00,7.00,12.00,17.00,22.00,4.00,9.00,14.00,19.00,1.00,6.00,11.00,16.00,21.00,3.00,8.00,13.00,18.00
1,-4.60,3.12,3.48,2.00,2.36,1.80,1.24,1.60,2.88,1.40,3.60,2.12,2.48,1.00,3.20,1.72,3.00,3.36,2.80,2.24,2.60,1.12,1.48
4,-11.50,7.50,3.50,5.25,7.00,3.00,10.50,6.50,2.50,4.25,6.00,2.00,9.50,5.50,7.25,9.00,5.00,1.00,8.50,4.50,6.25,8.00,4.00
1,-6.57,1.57,3.14,4.71,3.00,4.57,2.86,3.33,4.90,1.00,2.57,3.05,3.52,4.00,5.57,1.67,3.24,3.71,2.00,3.57,1.86,3.43,5.00
1,-11.50,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,3.25,4.25,5.25,6.25,7.25,8.25,3.50,4.50,5.50,6.50,7.50,8.50,9.50,10.50
2,-11.50,2.50,5.00,7.50,10.00,1.00,3.50,6.00,8.50,5.25,2.00,4.50,7.00,9.50,6.25,3.00,5.50,8.00,10.50,1.50,4.00,6.50,9.00
1,-5.75,1.75,3.50,2.79,1.25,3.00,4.75,1.57,2.50,2.61,4.36,2.00,3.75,1.39,3.14,3.25,4.18,1.00,2.75,4.50,2.96,2.25,4.00
2,-11.50,8.50,5.50,8.25,5.25,8.00,5.00,2.00,10.50,7.50,4.50,7.25,4.25,7.00,4.00,1.00,9.50,6.50,3.50,6.25,3.25,6.00,3.00
1,-3.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00
1,-7.67,1.50,3.00,4.50,6.00,3.67,5.17,6.67,4.33,2.00,3.50,5.00,2.67,4.17,5.67,3.33,1.00,2.50,4.00,1.67,3.17,4.67,6.17
5,-11.50,6.50,1.50,8.00,3.00,9.50,4.50,5.25,6.00,1.00,7.50,2.50,9.00,4.00,10.50,5.50,6.25,7.00,2.00,8.50,3.50,10.00,5.00
1,-5.31,3.15,1.00,2.38,2.00,3.38,3.00,2.62,4.00,3.62,3.23,1.08,4.23,2.08,1.69,1.31,2.69,2.31,1.92,3.31,2.92,4.31,2.15
1,-5.75,1.50,3.00,4.50,1.69,1.75,3.25,4.75,3.38,2.00,3.50,2.13,3.63,2.25,3.75,2.38,1.00,2.50,4.00,4.06,1.25,2.75,4.25
1,-5.75,3.63,1.50,2.25,3.00,3.75,4.50,2.38,1.69,1.00,1.75,2.50,3.25,4.00,4.75,4.06,3.38,1.25,2.00,2.75,3.50,4.25,2.13
24,-23.00,15.00,7.00,22.00,14.00,6.00,21.00,13.00,5.00,20.00,12.00,4.00,19.00,11.00,3.00,18.00,10.00,2.00,17.00,9.00,1.00,16.00,8.00
3,-11.50,5.25,10.50,10.00,9.50,9.00,8.50,8.00,7.50,7.00,6.50,6.00,5.50,5.00,4.50,4.00,3.50,3.00,2.50,2.00,1.50,1.00,6.25
1,-7.67,4.33,1.00,2.78,2.00,3.78,3.00,4.78,4.00,5.78,5.00,1.67,6.00,2.67,1.89,3.67,2.89,4.67,3.89,5.67,4.89,6.67,3.33
3,-7.67,1.67,3.33,5.00,6.67,4.50,2.33,4.00,5.67,3.50,1.33,3.00,4.67,6.33,4.17,2.00,3.67,5.33,3.17,1.00,2.67,4.33,6.00
1,-5.75,2.96,1.00,3.14,2.00,2.50,3.00,3.50,4.00,4.50,4.18,1.39,4.36,1.57,1.25,1.75,2.25,2.75,3.25,3.75,2.61,4.75,2.79
1,-7.67,4.33,1.00,5.33,2.00,6.33,3.00,2.22,4.00,3.22,5.00,1.67,6.00,2.67,4.44,3.67,5.44,4.67,1.33,5.67,2.33,6.67,3.33
1,-5.11,4.06,3.00,1.94,3.44,3.67,3.89,4.11,3.06,2.00,2.22,2.44,2.67,2.89,3.11,2.06,1.00,1.22,1.44,1.67,3.17,2.11,1.06
1,-4.60,3.40,2.20,1.00,1.33,1.67,2.00,2.33,1.13,3.00,3.33,2.13,2.47,1.27,1.60,3.47,2.27,2.60,2.93,3.27,3.60,2.40,1.20
1,-5.75,2.13,4.25,3.50,2.75,2.00,4.13,3.38,2.63,4.75,4.00,3.25,2.50,1.75,1.00,3.13,2.38,1.63,3.75,3.00,2.25,1.50,3.63
1,-5.75,2.00,4.00,3.13,2.25,1.38,3.38,2.50,4.50,3.63,2.75,4.75,1.00,3.00,2.13,1.25,3.25,2.38,4.38,3.50,2.63,1.75,3.75
3,-7.67,3.33,6.67,2.33,5.67,1.33,4.67,5.44,3.67,4.44,2.67,6.00,1.67,5.00,3.22,4.00,2.22,3.00,6.33,2.00,5.33,1.00,4.33
1,-4.31,2.75,1.19,1.06,2.37,2.25,2.12,2.00,3.31,3.19,3.06,2.94,1.37,1.25,1.12,1.00,2.31,2.19,2.06,1.94,3.25,3.12,1.56
1,-4.60,1.13,2.27,3.40,3.00,2.60,2.20,3.33,1.40,1.00,2.13,3.27,1.33,2.47,3.60,3.20,1.27,2.40,2.00,1.60,1.20,2.33,3.47
1,-7.67,4.67,1.67,6.33,3.33,4.17,5.00,2.00,6.67,3.67,4.50,5.33,2.33,3.17,4.00,1.00,5.67,2.67,3.50,4.33,1.33,6.00,3.00
1,-11.50,5.25,10.50,4.25,9.50,9.00,8.50,8.00,7.50,7.00,6.50,6.00,5.50,5.00,4.50,4.00,3.50,3.00,2.50,2.00,7.25,1.00,6.25
1,-4.18,2.64,3.18,1.64,2.18,2.73,1.18,2.77,2.27,2.82,1.27,2.86,1.32,2.91,1.36,1.91,1.41,3.00,1.45,2.00,2.55,1.00,1.55
1,-11.50,7.25,3.00,4.50,6.00,7.50,3.25,10.50,6.25,2.00,3.50,5.00,6.50,8.00,9.50,5.25,1.00,8.25,4.00,5.50,7.00,8.50,4.25
1,-5.75,1.75,3.50,2.38,1.25,3.00,4.75,2.19,2.50,4.25,4.56,2.00,3.75,1.19,1.50,3.25,3.56,1.00,2.75,4.50,3.38,2.25,4.00
1,-5.48,1.00,2.00,3.00,1.81,2.81,3.81,3.71,3.62,3.52,1.24,2.24,3.24,4.24,1.95,1.86,1.76,1.67,2.67,3.67,2.48,3.48,4.48
2,-7.67,1.67,3.33,5.00,6.67,5.78,2.33,4.00,5.67,4.78,3.89,3.00,4.67,3.78,2.89,2.00,3.67,5.33,1.89,1.00,2.67,4.33,6.00
1,-7.67,2.67,5.33,5.44,3.00,5.67,3.22,3.33,3.44,1.00,3.67,2.50,5.17,4.00,6.67,4.22,4.33,4.44,2.00,4.67,2.22,2.33,5.00
2,-7.67,5.67,3.67,1.67,5.42,5.33,3.33,1.33,3.17,5.00,3.00,1.00,6.67,4.67,2.67,4.50,6.33,4.33,2.33,2.25,6.00,4.00,2.00
2,-11.50,5.50,5.25,5.00,10.50,4.50,10.00,4.00,9.50,3.50,9.00,3.00,8.50,2.50,8.00,2.00,7.50,1.50,7.00,1.00,6.50,6.25,6.00
3,-11.50,4.25,8.50,7.00,5.50,4.00,2.50,1.00,5.25,9.50,8.00,6.50,5.00,3.50,2.00,6.25,10.50,9.00,7.50,6.00,4.50,3.00,7.25
1,-4.60,2.33,1.60,2.40,3.20,2.47,3.27,1.00,1.80,2.60,3.40,1.13,3.47,1.20,2.00,2.80,3.60,1.33,2.13,1.40,2.20,3.00,2.27
1,-5.75,2.25,4.50,1.00,3.25,1.19,2.00,4.25,2.19,3.00,2.38,1.75,4.00,3.38,2.75,3.56,1.50,3.75,4.56,2.50,4.75,1.25,3.50
19,-23.00,17.00,11.00,5.00,22.00,16.00,10.00,4.00,21.00,15.00,9.00,3.00,20.00,14.00,8.00,2.00,19.00,13.00,7.00,1.00,18.00,12.00,6.00
6,-11.50,3.00,6.00,9.00,6.25,3.50,6.50,9.50,1.00,4.00,7.00,10.00,1.50,4.50,7.50,10.50,2.00,5.00,8.00,5.25,2.50,5.50,8.50
1,-11.50,5.00,4.25,3.50,8.50,2.00,7.00,6.25,5.50,10.50,4.00,9.00,2.50,7.50,1.00,6.00,5.25,4.50,9.50,3.00,8.00,7.25,6.50
1,-7.67,2.58,5.17,2.00,2.67,3.33,4.00,4.67,5.33,6.00,6.67,3.50,4.17,1.00,1.67,2.33,3.00,3.67,4.33,5.00,5.67,2.50,5.08
1,-7.67,3.50,5.08,6.67,2.50,6.00,5.67,5.33,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,2.33,2.00,1.67,5.17,1.00,2.58,4.17
1,-5.11,1.06,2.11,3.17,1.67,1.44,1.22,1.00,2.06,3.11,2.89,2.67,2.44,2.22,2.00,3.06,4.11,3.89,3.67,3.44,1.94,3.00,4.06
1,-5.75,3.38,1.00,1.50,2.00,2.50,3.00,3.50,1.13,4.50,2.13,2.63,3.13,3.63,1.25,4.63,2.25,2.75,3.25,3.75,4.25,4.75,2.38
1,-5.94,4.00,2.06,3.10,4.13,2.94,1.00,1.29,2.32,3.35,4.39,3.94,2.00,1.55,2.58,3.61,4.65,4.94,3.00,1.81,2.84,3.87,1.94
1,-7.67,2.89,5.78,1.00,3.89,1.67,2.00,2.33,2.67,3.00,3.33,3.67,4.00,4.33,4.67,5.00,5.33,5.67,6.00,3.78,6.67,1.89,4.78
1,-5.31,1.85,3.69,2.00,2.08,2.15,4.00,2.31,2.38,4.23,4.31,2.62,2.69,1.00,1.08,2.92,3.00,1.31,3.15,3.23,3.31,1.62,3.46
1,-5.75,4.38,3.00,1.63,4.56,3.19,3.25,4.75,3.38,2.00,2.06,3.56,2.19,3.69,3.75,2.38,1.00,2.50,2.56,1.19,4.13,2.75,1.38
3,-11.50,2.00,4.00,6.00,8.00,4.25,6.25,2.50,4.50,6.50,8.50,10.50,1.00,3.00,5.00,7.00,9.00,5.25,7.25,3.50,5.50,7.50,9.50
1,-9.20,5.20,5.80,6.40,2.40,3.00,8.20,4.20,4.80,5.40,6.00,2.00,7.20,3.20,3.80,4.40,5.00,1.00,6.20,6.80,2.80,3.40,4.00
1,-7.67,6.00,4.33,2.67,1.00,5.08,5.33,3.67,2.00,4.17,2.50,4.67,3.00,5.17,3.50,5.67,4.00,2.33,2.58,6.67,5.00,3.33,1.67
1,-11.50,10.50,9.50,8.50,7.50,6.50,5.50,4.50,3.50,2.50,7.25,6.25,5.25,4.25,9.00,8.00,7.00,6.00,5.00,4.00,3.00,2.00,1.00
1,-6.27,1.00,2.00,3.00,1.91,2.91,1.82,2.82,3.82,4.82,1.64,2.64,3.64,4.64,1.45,2.45,3.45,4.45,3.36,4.36,3.27,4.27,5.27
1,-7.67,5.17,2.67,4.00,5.33,6.67,4.17,1.67,3.00,4.33,5.67,3.17,4.50,2.00,3.33,4.67,6.00,3.50,1.00,2.33,3.67,5.00,2.50
1,-7.67,3.67,3.50,3.33,3.17,3.00,6.67,2.67,2.50,6.17,2.17,2.00,5.67,5.50,1.50,5.17,5.00,1.00,4.67,4.50,4.33,4.17,4.00
1,-4.93,3.43,1.93,1.52,3.86,3.45,1.95,1.00,2.79,2.93,1.98,3.21,1.71,2.95,2.00,2.14,3.93,2.98,1.48,1.07,3.40,3.00,1.50
21,-23.00,12.00,1.00,13.00,2.00,14.00,3.00,15.00,4.00,16.00,5.00,17.00,6.00,18.00,7.00,19.00,8.00,20.00,9.00,21.00,10.00,22.00,11.00
1,-5.75,2.75,1.19,2.50,2.38,2.25,3.56,2.00,4.75,3.19,4.50,1.50,4.25,1.25,2.56,1.00,3.75,2.19,3.50,3.38,3.25,4.56,3.00
1,-5.31,3.15,1.00,4.15,2.00,1.62,3.00,2.62,4.00,3.62,3.23,2.85,2.46,2.08,1.69,1.31,2.69,2.31,3.69,3.31,1.15,4.31,2.15
1,-5.31,2.00,4.00,2.46,2.69,1.15,3.15,1.62,1.85,2.08,2.31,4.31,1.00,3.00,3.23,3.46,3.69,2.15,4.15,2.62,2.85,1.31,3.31
1,-4.60,3.20,1.80,1.06,3.60,2.86,2.11,3.01,2.60,3.17,2.43,3.00,1.60,2.17,1.43,2.00,1.59,2.49,1.74,1.00,3.54,2.80,1.40
1,-3.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00
1,-5.75,3.19,3.50,2.38,1.25,3.00,4.75,3.63,2.50,4.25,1.69,2.00,3.75,4.06,1.50,3.25,2.13,1.00,2.75,4.50,3.38,2.25,2.56
2,-7.67,1.00,2.00,3.00,4.00,5.00,6.00,3.17,4.17,1.33,2.33,3.33,4.33,5.33,6.33,3.50,4.50,1.67,2.67,3.67,4.67,5.67,6.67
1,-6.27,2.45,4.91,5.27,3.55,3.91,4.27,4.64,2.91,3.27,3.64,1.91,4.36,2.64,3.00,3.36,1.64,2.00,2.36,2.73,1.00,1.36,3.82
1,-7.67,5.67,3.67,1.67,4.78,5.33,3.33,3.89,1.89,5.00,3.00,1.00,6.67,4.67,2.67,5.78,3.78,4.33,2.33,2.89,6.00,4.00,2.00
