count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
1,-5.00,2.00,2.50,1.67,3.33,2.00,2.00,3.33,2.33,2.67,4.00,1.67,2.00,2.00,4.00,2.00,1.00,3.00,4.00,4.00,1.00,1.00,3.00,3.00,1.00,4.00,3.00,3.00,1.00,3.00
1,-6.00,3.60,3.00,4.00,1.00,1.60,2.10,2.00,4.20,1.80,3.20,5.00,4.60,4.60,3.20,2.60,2.80,2.40,3.20,2.20,2.80,2.80,3.90,1.40,2.80,3.20,3.40,4.40,3.80,1.40
1,-5.00,3.00,2.50,2.67,3.67,2.67,2.00,2.33,1.00,4.00,1.67,1.33,3.67,3.33,3.00,1.33,2.00,2.00,3.33,3.67,1.67,3.33,3.00,1.67,3.67,1.33,3.67,2.33,1.33,1.33
1,-10.00,2.00,5.00,3.33,5.00,2.00,7.00,6.67,4.00,6.00,4.00,5.00,7.00,2.00,9.00,7.00,1.00,8.00,4.00,5.67,6.00,6.00,3.00,8.00,1.00,9.00,3.00,8.00,4.33,3.00
1,-5.00,1.00,2.50,2.50,2.50,1.00,3.50,2.50,2.00,3.00,2.00,2.50,3.50,1.00,2.00,1.00,3.00,4.00,2.00,2.00,3.00,3.00,1.50,4.00,3.00,2.00,4.00,4.00,3.00,1.50
1,-10.00,6.00,5.00,5.00,5.00,6.00,6.00,5.00,7.00,3.00,2.00,5.00,6.00,6.00,7.00,1.00,3.00,4.00,2.00,2.00,8.00,8.00,4.00,4.00,3.00,7.00,9.00,4.00,8.00,4.00
1,-5.00,3.17,2.50,1.67,2.50,4.00,4.00,3.33,3.00,2.00,3.00,2.50,4.00,1.50,3.00,4.00,2.00,1.83,3.00,3.00,2.00,2.00,1.00,3.50,2.00,3.00,1.00,1.00,2.00,1.00
1,-10.00,2.00,5.00,5.00,5.00,2.00,7.00,5.00,4.00,6.00,4.00,5.00,7.00,2.00,4.00,7.00,6.00,8.00,4.00,9.00,6.00,6.00,3.00,8.00,1.00,9.00,3.00,8.00,1.00,3.00
1,-6.00,1.40,3.00,2.00,5.00,2.40,1.40,4.00,2.80,3.20,1.80,1.00,1.40,1.40,2.80,1.40,3.20,4.60,2.80,2.80,3.20,4.20,4.60,4.60,3.20,2.80,4.60,3.60,3.20,4.60
1,-7.50,3.00,3.75,5.00,4.38,5.50,4.88,2.50,2.25,5.25,1.00,3.13,3.63,4.25,4.13,2.38,3.38,4.50,3.50,2.88,4.00,6.50,2.63,3.25,2.13,5.38,5.13,2.00,4.63,3.88
