count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
1,-10.00,6.00,5.00,3.33,3.33,4.33,1.00,6.67,2.00,8.00,5.33,6.67,4.33,2.67,7.00,7.67,3.00,4.00,6.17,2.83,3.83,4.67,9.00,7.33,6.33,3.67,2.33,5.67,7.17,5.67
1,-6.67,2.00,3.33,4.44,4.44,1.44,3.67,2.22,2.33,4.33,3.44,2.22,3.11,4.22,5.67,4.22,1.00,4.67,2.89,3.44,3.78,3.22,3.00,2.44,5.44,1.22,2.44,5.22,3.22,3.56
1,-10.00,4.00,5.00,3.33,3.33,4.00,9.00,6.67,8.00,2.00,4.67,6.67,2.33,5.67,3.00,5.67,7.00,6.00,4.67,3.00,5.33,5.33,1.00,4.33,3.67,6.33,4.33,6.00,7.00,7.67
1,-6.00,3.00,3.00,4.00,4.00,4.00,3.00,2.00,3.00,3.00,4.00,2.00,2.50,2.00,3.00,2.00,3.00,3.00,5.00,1.00,1.00,2.00,3.00,4.00,1.00,5.00,4.00,2.00,5.00,3.50
1,-7.50,1.50,3.75,5.00,5.00,4.00,4.00,2.50,3.00,4.50,5.50,2.50,6.50,4.00,3.00,4.00,4.50,6.00,5.50,1.75,2.00,2.00,3.50,3.50,2.00,5.50,3.50,3.50,5.75,1.00
1,-4.74,2.21,2.37,2.63,3.42,3.26,3.00,2.11,1.26,3.47,2.32,1.32,2.47,2.74,3.63,3.53,1.11,2.53,3.37,3.11,1.37,2.42,1.74,2.00,3.74,1.00,1.21,1.47,1.63,2.26
1,-4.74,2.53,2.37,2.63,1.05,2.00,1.74,2.11,3.47,1.26,1.37,3.68,1.21,2.26,1.11,2.26,3.63,2.21,2.42,3.74,2.32,3.37,3.00,2.47,2.32,2.42,2.47,2.74,1.00,3.53
2,-15.00,9.00,7.50,10.00,10.00,4.00,9.00,5.00,3.00,12.00,13.00,5.00,4.00,14.00,3.00,6.50,12.00,6.00,8.00,5.50,7.00,2.00,6.00,1.00,7.00,8.00,8.50,11.00,9.50,11.00
1,-10.00,4.00,5.00,6.67,1.67,5.67,9.00,3.33,8.00,2.00,4.67,8.33,5.67,7.33,3.00,2.33,7.00,6.00,1.33,7.17,8.67,5.33,1.00,2.67,3.67,6.33,7.67,4.33,2.83,4.33
1,-15.00,10.50,7.50,10.00,10.00,13.00,3.00,5.00,6.00,9.00,8.50,5.00,5.50,8.00,6.00,8.00,9.00,4.50,11.00,1.00,4.00,6.50,12.00,7.00,11.50,3.50,7.00,2.00,14.00,9.50
1,-3.00,2.00,1.50,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00
1,-4.29,3.14,2.14,2.38,3.10,1.24,1.00,1.90,2.00,2.29,1.52,1.19,2.67,2.19,1.29,2.90,3.00,1.14,2.48,1.52,1.81,2.76,3.29,2.10,1.10,3.19,1.38,3.05,2.76,1.62
1,-6.00,4.80,3.00,4.00,1.00,4.80,4.80,2.00,3.60,2.40,3.60,5.00,3.80,4.80,3.60,3.80,2.40,1.20,3.60,3.60,2.40,2.40,1.20,1.20,2.40,3.60,2.20,1.20,2.40,2.20
1,-10.00,4.00,5.00,3.33,3.33,3.33,9.00,6.67,8.00,2.00,3.33,6.67,3.33,6.67,3.00,6.67,7.00,6.00,6.67,4.33,3.33,6.67,1.00,3.33,3.33,6.67,3.33,6.67,5.67,6.67
7,-15.00,3.00,7.50,10.00,10.00,13.00,3.00,5.00,6.00,9.00,8.50,5.00,13.00,8.00,6.00,8.00,9.00,12.00,11.00,1.00,4.00,6.50,12.00,7.00,4.00,11.00,7.00,2.00,14.00,2.00
1,-5.00,1.00,2.50,3.33,3.33,1.00,1.00,1.67,2.00,3.00,2.00,1.67,1.00,1.00,2.00,1.00,3.00,4.00,2.00,2.00,3.00,3.00,4.00,4.00,3.00,2.00,4.00,4.00,3.00,4.00
1,-6.67,2.67,3.33,2.22,3.89,1.56,1.00,4.44,2.00,4.67,4.22,2.78,3.22,3.78,3.67,5.44,3.00,4.00,3.11,2.56,3.56,2.44,5.67,2.89,5.22,1.44,1.22,5.11,4.11,3.44
1,-10.00,6.00,5.00,6.67,5.00,2.67,1.00,3.33,2.00,8.00,8.67,5.00,7.67,6.00,7.00,4.33,3.00,4.00,5.33,3.67,4.67,1.33,9.00,4.00,3.00,7.00,5.67,7.33,6.33,2.33
1,-4.29,3.00,2.14,1.43,1.43,2.29,3.00,2.86,1.71,2.57,1.00,2.86,2.29,2.64,2.79,1.57,1.50,1.29,2.43,1.00,1.86,3.29,1.29,1.64,2.93,1.36,2.71,2.00,3.29,2.00
1,-5.00,2.56,2.50,1.88,1.56,2.25,1.62,3.12,3.25,1.75,2.00,3.44,3.50,3.50,2.00,1.00,3.00,2.44,2.00,3.88,3.00,3.00,3.38,1.50,1.75,3.25,4.00,2.75,1.12,1.50
1,-6.43,3.43,3.21,2.86,1.79,2.00,2.36,3.57,4.71,1.71,5.43,4.64,5.21,2.71,3.64,3.79,2.79,3.00,4.00,2.21,2.43,1.00,4.07,3.71,3.50,2.93,2.64,4.43,4.21,1.21
1,-6.00,3.60,3.00,2.00,5.00,4.10,3.60,4.00,1.20,4.80,3.20,1.00,2.60,1.60,4.20,4.60,1.80,2.40,2.20,3.20,3.80,2.80,2.40,4.40,3.80,2.20,1.40,1.90,2.80,3.40
1,-5.00,4.00,2.50,1.67,2.50,2.33,1.50,3.33,3.00,2.00,1.33,2.50,1.50,3.17,3.00,3.17,2.00,1.00,2.17,2.17,2.83,3.67,3.50,1.83,1.58,3.42,1.83,2.67,2.83,3.50
1,-6.00,4.80,3.00,2.00,5.00,4.80,2.80,4.00,3.60,2.40,3.60,1.00,4.80,3.80,3.60,4.80,2.40,1.20,3.60,3.60,2.40,2.40,3.20,2.20,2.40,3.60,1.20,1.20,2.40,1.20
1,-6.00,3.80,3.00,4.00,1.00,2.80,3.80,2.00,1.60,4.40,1.60,5.00,2.80,2.80,1.60,3.80,4.40,2.20,1.60,1.60,4.40,4.40,2.20,3.20,4.40,1.60,2.20,3.20,4.40,3.20
1,-10.00,3.00,5.00,6.67,5.00,8.00,3.00,3.33,6.00,4.00,6.00,5.00,3.00,6.33,3.50,3.00,6.50,7.00,6.00,1.00,4.00,4.00,7.00,3.67,4.00,6.00,7.00,2.00,9.00,7.00
1,-6.00,2.23,3.00,2.00,5.00,3.37,2.66,4.00,4.46,1.54,3.89,1.00,2.94,1.94,4.89,3.23,1.11,3.77,4.17,4.31,1.83,2.11,3.34,4.06,2.26,3.74,2.77,2.63,1.69,3.06
1,-15.00,3.00,7.50,5.00,5.00,8.00,10.50,10.00,6.00,9.00,11.00,10.00,8.00,13.00,6.00,5.50,9.00,12.00,1.00,11.00,14.00,4.00,4.50,2.00,6.50,8.50,9.50,7.00,4.00,7.00
1,-4.29,1.29,2.14,2.86,2.86,2.00,1.29,1.43,2.57,1.71,3.29,1.43,2.00,2.00,1.86,2.00,2.43,3.00,3.29,1.14,1.00,1.00,3.00,2.29,1.00,3.29,2.29,2.29,3.14,2.29
1,-5.00,1.00,2.50,3.33,1.67,2.67,3.50,1.67,2.00,3.00,3.67,3.33,1.83,1.83,2.00,1.83,3.00,4.00,2.83,1.17,2.17,1.33,1.50,3.17,2.17,2.83,3.17,2.33,3.83,3.17
1,-5.00,4.00,2.50,1.67,1.67,4.00,2.33,3.33,3.00,2.00,3.00,3.33,1.50,2.33,3.00,2.33,2.00,1.00,3.00,1.33,2.00,2.00,2.67,2.67,3.67,1.33,2.67,1.00,3.67,3.50
1,-10.00,6.00,5.00,5.00,5.00,6.00,1.00,5.00,2.00,8.00,2.00,5.00,6.00,6.00,7.00,1.00,3.00,4.00,2.00,7.00,8.00,8.00,9.00,4.00,3.00,7.00,9.00,4.00,3.00,4.00
1,-5.62,1.50,2.81,3.12,3.12,2.75,1.50,2.50,3.00,2.62,4.25,2.50,4.62,2.12,3.00,4.00,2.62,4.12,3.62,1.44,2.00,1.37,4.12,3.50,2.00,3.62,1.62,2.87,4.19,1.00
1,-6.92,1.85,3.46,3.08,1.92,4.92,3.00,3.85,3.69,3.23,4.46,5.00,3.77,5.69,2.54,2.23,4.38,5.08,2.92,1.00,4.00,2.46,3.92,1.23,2.85,4.08,4.69,2.00,5.92,3.15
1,-6.00,4.80,3.00,2.00,5.00,3.80,1.80,4.00,3.60,2.40,2.60,1.00,3.80,2.80,3.60,4.30,2.40,1.20,1.60,2.60,4.40,3.40,4.20,3.20,1.40,4.60,1.70,2.20,3.40,2.20
1,-7.50,3.00,3.75,2.50,6.25,5.50,3.00,5.00,6.00,1.50,1.00,1.25,1.75,3.00,2.25,4.25,5.25,4.50,3.50,4.75,4.00,6.50,4.50,4.50,1.50,6.00,3.25,2.00,2.75,5.75
1,-10.00,7.00,5.00,5.00,5.00,2.00,7.00,5.00,4.00,6.00,4.00,5.00,7.00,2.00,4.00,7.00,6.00,3.00,4.00,9.00,6.00,6.00,3.00,8.00,6.00,4.00,3.00,8.00,1.00,3.00
1,-6.00,4.80,3.00,2.00,5.00,2.00,3.00,4.00,3.60,2.40,2.00,1.00,5.00,4.00,3.00,1.00,3.00,1.20,4.00,5.00,2.00,4.00,3.00,2.00,3.80,2.20,5.00,4.00,1.00,1.00
1,-6.00,3.60,3.00,2.00,5.00,2.60,3.60,4.00,1.20,4.80,3.20,1.00,2.60,1.60,4.20,1.60,1.80,2.40,2.20,3.20,3.80,2.80,2.40,4.40,3.80,2.20,4.40,3.40,2.80,3.40
1,-10.00,2.00,5.00,3.33,3.89,4.22,7.00,6.67,4.00,6.00,2.89,6.11,3.67,6.44,9.00,4.78,1.00,8.00,5.11,3.44,4.89,7.11,3.00,3.56,3.22,6.78,5.22,5.78,6.56,6.33
1,-5.00,2.33,2.50,2.50,3.33,2.33,4.00,2.50,3.00,2.00,3.00,1.67,1.50,4.00,1.33,1.50,3.67,2.67,3.00,1.33,2.00,2.00,1.00,1.00,2.00,3.00,3.50,2.67,3.67,3.50
3,-15.00,9.00,7.50,5.00,12.50,14.00,9.00,10.00,3.00,12.00,8.00,2.50,6.50,4.00,10.50,11.50,4.50,6.00,13.00,8.00,2.00,7.00,6.00,11.00,9.50,5.50,3.50,1.00,7.00,8.50
1,-10.00,3.00,5.00,5.00,5.00,3.00,3.00,5.00,6.00,4.00,6.00,5.00,8.00,8.00,6.00,8.00,4.00,7.00,6.00,6.00,4.00,4.00,7.00,2.00,9.00,1.00,2.00,7.00,4.00,2.00
1,-6.00,3.00,3.00,2.00,2.00,2.00,3.00,4.00,3.00,3.00,2.00,4.00,2.00,4.00,3.00,1.00,3.00,3.00,4.00,2.00,2.00,4.00,3.00,2.00,2.00,4.00,5.00,4.00,4.00,4.00
1,-4.29,3.00,2.14,1.79,2.86,1.57,3.00,2.50,1.71,2.57,1.36,1.43,1.57,2.29,2.79,1.21,1.50,1.29,3.14,1.36,1.14,2.93,1.29,2.00,3.29,1.00,3.07,2.71,2.93,2.71
1,-5.00,2.25,2.50,2.50,1.25,1.00,1.00,2.50,2.00,3.00,2.00,3.75,3.50,3.50,2.00,1.00,3.00,2.75,2.00,2.00,3.00,3.00,4.00,1.50,1.75,3.25,4.00,4.00,3.00,1.50
1,-9.37,3.00,4.69,3.12,5.00,6.12,3.00,6.25,6.00,3.37,5.37,4.37,3.31,7.37,3.19,2.69,6.19,6.37,5.69,6.31,3.69,4.00,6.37,2.00,8.37,1.00,6.69,3.25,3.06,6.06
1,-4.00,2.00,2.00,1.33,2.33,1.33,3.00,2.67,2.00,2.00,1.33,1.67,2.33,2.67,1.00,1.67,3.00,2.00,2.67,1.33,1.33,2.67,1.00,1.33,1.33,2.67,2.33,2.67,2.67,1.67
2,-15.00,12.00,7.50,5.00,12.50,2.00,4.50,10.00,9.00,6.00,14.00,2.50,9.50,7.00,1.50,7.00,13.50,3.00,4.00,6.50,11.00,1.00,10.50,8.00,3.50,11.50,8.00,13.00,8.50,5.50
1,-7.50,4.50,3.75,2.50,6.25,3.25,4.50,5.00,5.25,2.25,4.00,1.25,3.25,2.00,1.50,2.00,6.00,3.00,2.75,4.00,4.75,3.50,3.00,5.50,1.00,6.50,5.50,4.25,3.50,4.25
1,-3.00,2.00,1.50,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00
1,-10.00,2.00,5.00,3.33,3.33,3.33,7.00,6.67,4.00,6.00,3.33,6.67,3.33,6.67,9.00,6.67,1.00,8.00,6.67,3.33,3.33,6.67,3.00,3.33,3.33,6.67,3.33,6.67,6.67,6.67
1,-10.00,4.00,5.00,6.67,5.00,4.00,9.00,3.33,8.00,2.00,8.00,5.00,5.67,4.00,3.00,9.00,7.00,6.00,8.00,3.00,2.00,2.00,1.00,6.00,7.00,3.00,1.00,6.00,7.00,4.33
1,-10.00,2.00,5.00,6.67,5.00,6.44,7.00,3.33,4.00,6.00,4.00,5.00,7.00,3.11,9.00,3.67,1.00,8.00,4.00,6.78,6.00,6.00,3.00,6.89,6.56,3.44,6.33,3.56,3.22,3.00
1,-5.00,2.00,2.50,3.33,2.08,2.83,2.00,1.67,4.00,1.00,2.33,2.92,1.58,3.67,4.00,3.67,1.00,3.00,3.17,2.33,1.83,2.67,3.00,1.33,1.83,3.17,1.33,2.17,2.67,3.42
1,-7.50,3.00,3.75,2.50,6.25,5.50,3.00,5.00,2.25,5.25,4.75,1.25,5.50,4.25,6.00,4.25,1.50,4.50,3.50,1.00,4.00,2.75,4.50,3.25,4.00,3.50,3.25,2.00,6.50,2.00
1,-10.00,8.00,5.00,3.33,8.33,1.33,3.00,6.67,6.00,4.00,6.00,1.67,6.33,4.67,1.00,3.00,9.00,2.00,2.67,4.33,7.33,4.00,7.00,5.33,2.33,7.67,7.00,8.67,5.67,3.67
2,-6.00,3.60,3.00,2.00,3.80,2.00,3.00,4.00,1.20,4.80,2.00,2.20,5.00,4.00,3.00,1.00,3.00,2.40,4.00,5.00,2.00,4.00,3.00,2.00,5.00,1.00,5.00,4.00,1.00,1.00
1,-3.00,1.00,1.50,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00
1,-15.00,3.00,7.50,10.00,10.00,13.00,3.00,5.00,6.00,9.00,8.50,5.00,5.50,8.00,6.00,8.00,9.00,12.00,11.00,1.00,4.00,6.50,12.00,7.00,4.00,11.00,7.00,2.00,14.00,9.50
1,-5.00,2.67,2.50,3.33,3.33,1.00,2.67,1.67,2.00,3.00,2.00,1.67,2.67,1.00,3.67,2.67,1.33,2.33,2.00,3.67,3.00,3.00,2.33,4.00,1.33,3.67,2.33,4.00,1.33,2.33
1,-10.00,8.00,5.00,6.67,5.00,4.67,3.00,3.33,6.00,4.00,6.00,5.00,3.00,8.00,1.00,3.00,9.00,2.00,6.00,7.67,4.00,4.00,7.00,2.00,5.67,4.33,7.00,5.33,2.33,7.00
16,-30.00,18.00,15.00,10.00,25.00,28.00,3.00,20.00,6.00,24.00,16.00,5.00,13.00,8.00,21.00,23.00,9.00,12.00,26.00,1.00,4.00,14.00,27.00,22.00,19.00,11.00,7.00,2.00,29.00,17.00
2,-6.00,1.20,3.00,2.00,5.00,2.00,3.00,4.00,2.40,3.60,2.00,1.00,5.00,4.00,3.00,1.00,3.00,4.80,4.00,5.00,2.00,4.00,3.00,2.00,3.80,2.20,5.00,4.00,1.00,1.00
6,-15.00,3.00,7.50,10.00,2.50,13.00,10.50,5.00,6.00,9.00,1.00,12.50,5.50,8.00,13.50,8.00,1.50,12.00,11.00,8.50,4.00,14.00,4.50,7.00,11.50,3.50,7.00,2.00,6.50,9.50
1,-6.00,3.00,3.00,4.00,4.00,1.00,3.00,2.00,3.00,3.00,4.00,2.00,4.00,5.00,3.00,5.00,3.00,3.00,2.00,4.00,4.00,2.00,3.00,1.00,4.00,2.00,1.00,5.00,2.00,2.00
1,-10.00,4.00,5.00,6.67,5.00,4.00,9.00,3.33,8.00,2.00,8.00,5.00,9.00,4.00,3.00,5.67,7.00,6.00,8.00,3.00,2.00,2.00,1.00,6.00,7.00,3.00,4.33,6.00,7.00,1.00
1,-6.00,3.00,3.00,2.00,5.00,2.00,1.50,4.00,3.00,3.00,2.00,1.00,2.00,1.00,3.00,4.00,3.00,3.00,4.00,2.00,2.00,4.00,4.50,5.00,3.50,2.50,2.00,4.00,4.00,4.00
1,-5.00,2.33,2.50,3.33,3.33,4.00,3.17,1.67,3.00,2.00,3.00,1.67,1.50,4.00,3.00,4.00,2.00,2.67,3.00,3.00,2.00,2.00,1.83,1.00,2.00,3.00,1.00,1.00,2.00,3.50
1,-6.00,4.00,3.00,2.00,3.00,4.00,3.00,4.00,4.00,2.00,4.00,3.00,5.00,2.00,1.00,2.00,5.00,2.00,4.00,3.00,2.00,2.00,3.00,4.00,3.00,3.00,4.00,2.00,3.00,1.00
2,-5.00,3.00,2.50,3.33,3.33,3.00,3.00,1.67,1.00,4.00,1.00,1.67,3.00,3.00,1.00,3.00,4.00,2.00,1.00,1.00,4.00,4.00,2.00,2.00,4.00,1.00,2.00,2.00,4.00,2.00
1,-5.00,4.00,2.50,2.67,1.17,2.67,1.50,2.33,3.00,2.00,2.67,3.83,1.17,2.33,1.50,3.83,3.50,1.00,2.33,1.17,2.67,2.33,3.50,2.67,1.17,3.83,1.17,2.33,3.83,3.83
1,-6.00,2.40,3.00,2.00,5.00,2.40,2.40,4.00,4.80,1.20,2.80,1.00,2.40,2.40,3.80,2.40,2.20,3.60,4.80,4.80,1.20,3.20,3.60,3.60,1.20,4.80,3.60,3.60,1.20,3.60
1,-7.50,1.50,3.75,2.50,2.50,4.00,5.25,5.00,3.00,4.50,5.50,5.00,4.00,6.50,3.00,2.75,4.50,6.00,4.25,5.50,3.25,2.00,2.25,1.00,3.25,4.25,4.75,3.50,2.00,3.50
1,-4.50,3.00,2.25,1.50,1.50,3.00,1.50,3.00,3.00,1.50,2.50,3.00,3.00,3.50,2.50,3.00,2.00,1.50,2.00,3.00,2.50,2.00,3.00,1.00,3.00,1.50,1.50,1.50,1.50,1.50
1,-10.00,4.00,5.00,5.00,5.00,4.00,9.00,5.00,8.00,2.00,3.00,5.00,4.00,4.00,3.00,4.00,7.00,6.00,8.00,3.00,2.00,7.00,1.00,6.00,2.00,8.00,6.00,6.00,7.00,6.00
1,-10.00,4.00,5.00,6.25,6.25,6.50,9.00,3.75,8.00,2.00,6.75,3.75,6.50,4.00,3.00,4.00,7.00,6.00,3.00,6.75,7.00,3.25,1.00,6.00,7.00,3.00,6.00,3.50,3.25,3.50
1,-3.00,1.00,1.50,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00
1,-6.00,2.00,3.00,2.00,5.00,2.00,3.00,4.00,4.00,2.00,2.00,1.00,3.00,2.00,3.00,1.00,3.00,4.00,4.00,3.00,2.00,4.00,3.00,4.00,4.00,2.00,5.00,4.00,3.00,3.00
1,-6.00,4.80,3.00,4.00,1.00,2.80,3.30,2.00,3.60,2.40,4.60,5.00,1.30,2.30,3.60,3.80,2.40,1.20,2.60,1.60,3.40,1.40,2.70,3.70,3.40,2.60,2.20,3.20,4.40,4.70
1,-6.00,2.40,3.00,4.00,1.00,3.40,2.40,2.00,4.80,1.20,2.80,5.00,1.90,1.40,3.30,4.40,2.70,3.60,2.30,1.30,3.70,3.20,3.60,4.60,2.20,3.80,1.60,2.60,4.70,4.10
2,-6.00,3.60,3.00,4.00,1.00,4.00,3.00,2.00,1.20,4.80,4.00,5.00,1.00,2.00,3.00,5.00,3.00,2.40,2.00,1.00,4.00,2.00,3.00,4.00,1.00,5.00,1.00,2.00,5.00,5.00
1,-5.00,2.00,2.50,3.33,3.33,2.00,2.00,1.67,4.00,1.00,4.00,1.67,2.00,2.00,2.33,2.00,2.67,3.00,4.00,4.00,1.00,1.00,3.00,3.00,2.67,2.33,3.00,3.00,1.00,3.00
1,-5.00,2.67,2.50,1.67,3.33,1.00,1.00,3.33,2.00,3.00,3.67,1.67,2.67,2.67,3.67,2.67,1.33,2.33,2.00,2.00,3.00,1.33,4.00,2.33,1.33,3.67,2.33,4.00,3.00,2.33
1,-6.00,2.40,3.00,2.00,5.00,4.40,3.00,4.00,3.60,2.40,2.00,1.00,1.40,4.00,1.80,3.40,4.20,3.60,2.80,2.60,3.20,4.00,3.00,2.00,5.00,1.00,2.60,1.60,3.40,4.60
1,-6.00,1.20,3.00,2.00,5.00,2.00,3.00,4.00,2.40,3.60,2.00,1.00,5.00,4.00,3.00,1.00,3.00,4.80,4.00,3.80,2.00,4.00,3.00,2.00,5.00,1.00,5.00,4.00,2.20,1.00
1,-5.00,2.00,2.50,2.50,3.75,2.00,2.00,2.50,4.00,1.00,1.50,1.25,2.00,2.00,2.75,2.00,2.25,3.00,4.00,4.00,1.00,3.50,3.00,3.00,3.50,1.50,3.00,3.00,1.00,3.00
1,-5.00,1.00,2.50,2.50,2.50,1.00,1.00,2.50,2.00,3.00,2.00,2.50,3.50,1.00,2.00,3.50,3.00,4.00,2.00,2.00,3.00,3.00,4.00,4.00,3.00,2.00,1.50,4.00,3.00,1.50
1,-5.00,1.00,2.50,3.33,3.33,1.83,1.00,1.67,2.00,3.00,2.83,1.67,3.08,2.67,2.00,2.67,3.00,4.00,1.17,2.83,3.83,2.17,4.00,2.33,3.83,1.17,2.33,3.17,2.17,1.92
1,-5.00,3.00,2.50,3.33,3.33,3.00,2.17,1.67,1.83,3.17,1.00,1.67,1.75,3.00,2.67,1.33,2.33,2.00,3.50,3.50,1.50,4.00,2.83,2.00,1.50,3.50,3.67,2.00,1.50,3.25
1,-10.00,4.00,5.00,3.33,7.08,7.33,9.00,6.67,8.00,2.00,6.33,2.92,2.33,3.17,3.00,5.67,7.00,6.00,4.67,6.33,5.33,3.67,1.00,6.83,6.58,3.42,4.33,2.67,3.67,7.67
1,-5.00,3.50,2.50,2.50,1.25,2.25,1.00,2.50,2.00,3.00,2.00,3.75,1.00,1.00,2.00,3.50,3.00,1.50,2.00,2.00,3.00,3.00,4.00,4.00,3.00,2.00,1.50,2.75,3.00,4.00
1,-5.00,2.00,2.50,1.67,3.33,2.00,3.67,3.33,3.17,1.83,4.00,1.67,2.00,2.00,2.33,3.67,2.67,3.00,4.00,1.50,1.00,1.00,1.33,3.00,2.67,2.33,1.33,3.00,3.50,3.00
1,-5.22,1.83,2.61,1.74,2.39,2.26,3.78,3.48,3.65,1.57,4.09,2.83,4.22,2.70,3.00,2.04,2.22,3.39,3.22,2.13,2.00,1.13,1.43,2.52,3.96,1.26,3.17,2.96,3.09,1.00
1,-10.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,8.00,2.00,8.00,5.00,9.00,4.00,3.00,4.00,7.00,6.00,8.00,3.00,2.00,2.00,6.00,6.00,7.00,3.00,6.00,6.00,7.00,1.00
1,-6.00,4.00,3.00,4.00,1.00,4.00,3.00,2.00,4.00,2.00,4.00,5.00,1.00,2.00,3.00,5.00,3.00,2.00,2.00,3.00,4.00,2.00,3.00,4.00,1.00,5.00,1.00,2.00,3.00,5.00
11,-30.00,24.00,15.00,10.00,25.00,4.00,9.00,20.00,18.00,12.00,28.00,5.00,19.00,14.00,3.00,29.00,27.00,6.00,8.00,13.00,22.00,2.00,21.00,16.00,7.00,23.00,1.00,26.00,17.00,11.00
1,-10.00,6.00,5.00,6.67,5.00,6.00,7.67,3.33,5.33,4.67,2.00,5.00,4.33,6.00,7.00,1.00,3.00,4.00,2.00,7.00,8.00,8.00,2.33,4.00,3.00,7.00,9.00,4.00,3.00,5.67
1,-10.00,8.00,5.00,6.67,1.67,4.67,3.00,3.33,6.00,4.00,2.67,8.33,3.67,5.33,1.00,6.33,9.00,2.00,7.33,7.67,2.67,7.33,7.00,4.67,5.67,4.33,3.67,5.33,2.33,6.33
1,-6.67,2.33,3.33,2.22,2.22,2.89,5.67,4.44,4.67,2.00,3.56,4.44,4.56,5.11,3.00,5.11,3.67,4.33,4.11,3.56,2.56,3.11,1.00,1.56,2.56,4.11,1.56,3.78,3.11,2.11
1,-6.00,2.40,3.00,2.00,5.00,2.40,2.40,4.00,4.80,1.20,2.80,1.00,3.40,2.40,3.80,2.40,2.20,3.60,4.80,4.80,1.20,3.20,3.60,3.60,4.20,1.80,3.60,3.60,1.20,2.60
1,-5.00,4.00,2.50,2.50,3.75,1.50,1.50,2.50,3.00,2.00,3.00,1.25,2.75,1.50,3.00,1.50,2.00,1.00,3.00,1.75,2.00,2.00,3.50,3.50,3.25,1.75,3.50,3.50,3.25,2.25
6,-15.00,6.00,7.50,10.00,10.00,1.00,6.00,5.00,12.00,3.00,7.00,5.00,8.50,11.00,12.00,11.00,3.00,9.00,2.00,7.00,13.00,8.00,9.00,4.00,13.00,2.00,4.00,14.00,8.00,6.50
1,-7.50,6.00,3.75,5.00,5.00,3.50,6.00,2.50,4.50,3.00,2.00,2.50,3.50,1.00,4.50,4.75,3.00,1.50,3.25,5.75,4.25,5.50,1.50,6.50,4.25,3.25,2.75,4.00,1.75,4.00
1,-10.00,8.00,5.00,6.67,6.67,4.67,3.00,3.33,6.00,4.00,5.17,3.33,7.17,3.83,1.00,6.33,9.00,2.00,4.33,7.67,5.67,4.83,7.00,6.17,5.67,4.33,3.67,5.33,2.33,2.83
1,-6.00,2.40,3.00,4.00,1.00,4.40,3.90,2.00,4.80,1.20,3.80,5.00,2.40,3.40,3.30,4.90,2.70,3.60,2.80,2.30,3.20,2.20,2.10,2.60,1.70,4.30,1.10,1.60,3.70,3.60
2,-10.00,4.00,5.00,3.33,8.33,7.33,9.00,6.67,8.00,2.00,1.33,1.67,2.33,5.67,3.00,5.67,7.00,6.00,4.67,6.33,5.33,8.67,1.00,4.33,5.33,4.67,4.33,2.67,3.67,7.67
2,-7.50,4.50,3.75,5.00,5.00,2.00,4.50,2.50,1.50,6.00,6.50,2.50,2.00,3.25,1.50,3.25,6.00,3.00,4.00,6.50,3.50,1.00,3.00,4.25,3.50,4.00,4.25,5.50,1.00,5.50
5,-15.00,6.00,7.50,5.00,12.50,11.00,13.50,10.00,12.00,3.00,2.00,2.50,3.50,1.00,4.50,8.50,10.50,9.00,7.00,9.50,8.00,13.00,1.50,14.00,8.00,7.00,6.50,4.00,5.50,11.50
1,-10.00,6.00,5.00,6.67,5.00,6.00,6.00,3.33,2.00,8.00,2.00,5.00,2.67,6.00,7.00,1.00,3.00,4.00,5.33,7.00,4.67,8.00,4.00,4.00,3.00,7.00,9.00,4.00,3.00,7.33
3,-15.00,9.00,7.50,5.00,5.00,6.50,9.00,10.00,3.00,12.00,8.00,10.00,14.00,4.00,3.00,4.00,12.00,6.00,13.00,8.00,2.00,7.00,6.00,11.00,2.00,13.00,11.00,8.50,7.00,1.00
1,-6.00,3.60,3.00,4.00,1.00,4.00,3.00,2.00,1.20,4.80,4.00,5.00,3.40,3.20,3.00,3.80,3.00,2.40,2.00,1.00,4.00,2.00,3.00,2.80,4.60,1.40,2.20,2.00,5.00,2.60
